case,replica,ensemble,time_fs,temperature_k,potential_energy_ev_per_atom,total_energy_ev_per_atom,max_force_ev_per_angstrom,nearest_neighbor_distance_angstrom,rms_displacement_angstrom
ambient_fcc,0,nvt,5,323.700967939,-3.70352244377,-3.66298842035,1.31456090444,2.69240308766,0
ambient_fcc,0,nvt,10,329.43088519,-3.70328712463,-3.66203559764,1.37756526341,2.69037551877,0.0268269250265
ambient_fcc,0,nvt,15,367.95717934,-3.70349144936,-3.65741563741,1.32898673479,2.69017981007,0.0538490049757
ambient_fcc,0,nvt,20,357.129106293,-3.70423030853,-3.65951039419,1.16938384186,2.68858814469,0.0805170612741
ambient_fcc,0,nvt,25,317.478320663,-3.70436954498,-3.66461472507,1.00407580685,2.68970294059,0.10530511205
ambient_fcc,0,nvt,30,325.33335305,-3.70455217361,-3.66381374198,1.04251103989,2.69417163437,0.127897873932
ambient_fcc,0,nvt,35,311.236005399,-3.70432686806,-3.66535371449,1.12378080563,2.69856733063,0.149178176052
ambient_fcc,0,nvt,40,306.199912559,-3.70347881317,-3.66513628208,1.166435795,2.69906726261,0.168816558963
ambient_fcc,0,nvt,45,329.73128206,-3.70193862915,-3.66064948628,1.20868710826,2.69651205007,0.187592496779
ambient_fcc,0,nvt,50,328.657540072,-3.70030021667,-3.6591455284,1.19894103926,2.69121103063,0.204747832266
ambient_fcc,0,nvt,55,308.425403278,-3.69908905029,-3.66046784196,1.27060132279,2.68505883878,0.219241884121
ambient_fcc,0,nvt,60,298.736458868,-3.69879508018,-3.6613871271,1.26472180794,2.68074679663,0.231241335605
ambient_fcc,0,nvt,65,300.764055238,-3.69930696487,-3.66164511499,1.19799189984,2.67791207466,0.240810923007
ambient_fcc,0,nvt,70,298.404843478,-3.70132470131,-3.6639582733,1.08302278671,2.6794151418,0.247094514318
ambient_fcc,0,nvt,75,312.802193176,-3.70360422134,-3.66443494883,0.926524377638,2.68710854782,0.251346739344
ambient_fcc,0,nvt,80,330.639168587,-3.70535469055,-3.66395186161,0.882600162823,2.69177539157,0.254118476002
ambient_fcc,0,nvt,85,303.28162553,-3.70598530769,-3.6680082062,0.920801630052,2.69037220346,0.255477075735
ambient_fcc,0,nvt,90,323.75577531,-3.7060573101,-3.66551642367,1.09871476421,2.69029814883,0.255323290384
ambient_fcc,0,nvt,95,330.672647838,-3.70604634285,-3.66463932161,1.19959741679,2.69245603889,0.253203724591
ambient_fcc,0,nvt,100,373.606536681,-3.70553565025,-3.65875242249,1.15552911119,2.69446908168,0.250799457394
ambient_fcc,0,nvt,105,338.225268913,-3.70445299149,-3.66210022665,1.19954031687,2.69614585915,0.249247070794
ambient_fcc,0,nvt,110,316.398190589,-3.7030479908,-3.6634284254,1.29195643916,2.69610228532,0.24802263092
ambient_fcc,0,nvt,115,273.136332502,-3.70137071609,-3.66716842572,1.49098020901,2.69181870233,0.247215746457
ambient_fcc,0,nvt,120,294.099912722,-3.70077800751,-3.66395064543,1.53452044191,2.68800565784,0.246832654957
ambient_fcc,0,nve,5,286.498102398,-3.73863458633,-3.70275912736,0.162672117375,2.83321494541,0
ambient_fcc,0,nve,10,261.443729986,-3.73549628258,-3.70275814669,0.33351955055,2.80401496249,0.0248239913533
ambient_fcc,0,nve,15,222.564273693,-3.73062777519,-3.70275814743,0.511800267836,2.77731562358,0.0481347430571
ambient_fcc,0,nve,20,175.010073774,-3.7246723175,-3.70275745431,0.685749394997,2.75424291036,0.0691950049829
ambient_fcc,0,nve,25,126.457416491,-3.71859169006,-3.70275661884,0.833570697871,2.73579690876,0.0873469096786
ambient_fcc,0,nve,30,85.6704119382,-3.71348428726,-3.70275658846,0.931515155613,2.72290101279,0.102100486033
ambient_fcc,0,nve,35,59.8165093477,-3.71024632454,-3.70275606646,0.96400256574,2.71614705988,0.113223152233
ambient_fcc,0,nve,40,51.9656333558,-3.70926308632,-3.70275591949,0.929789002991,2.71497180218,0.120794339998
ambient_fcc,0,nve,45,60.3098310327,-3.71030950546,-3.70275747335,0.873593221321,2.71960383904,0.12520159854
ambient_fcc,0,nve,50,79.4541633786,-3.71270680428,-3.70275750774,0.823937401591,2.7267562033,0.127076184385
ambient_fcc,0,nve,55,102.792682444,-3.71562957764,-3.70275781817,0.745141250315,2.73254532089,0.127184975489
