case,time_step_fs,time_fs,relative_energy_error
baseline_replica_0,2,20,0
baseline_replica_0,2,40,0.000458585918594
baseline_replica_0,2,60,0.0017350499536
baseline_replica_0,2,80,0.0029915072353
baseline_replica_0,2,100,0.00388992912097
baseline_replica_0,2,120,0.00443306526325
baseline_replica_0,2,140,0.00485231392392
baseline_replica_0,2,160,0.00508753043885
baseline_replica_0,2,180,0.0051803328103
baseline_replica_0,2,200,0.00519340482481
baseline_replica_0,2,220,0.00527623252829
baseline_replica_0,2,240,0.00526448749231
baseline_replica_0,2,260,0.00525024799187
baseline_replica_0,2,280,0.00524214576716
baseline_replica_0,2,300,0.00523671025893
baseline_replica_0,2,320,0.00517332151506
baseline_replica_0,2,340,0.00507691142071
baseline_replica_0,2,360,0.00501827555669
baseline_replica_0,2,380,0.00499153183544
baseline_replica_0,2,400,0.00490000859474
baseline_replica_0,2,420,0.00486169208953
baseline_replica_0,2,440,0.00477106838717
baseline_replica_0,2,460,0.00473747924299
baseline_replica_0,2,480,0.00467425637144
baseline_replica_0,2,500,0.00459663450683
baseline_replica_0,2,520,0.00456229893723
baseline_replica_0,2,540,0.00448548091539
baseline_replica_0,2,560,0.00436297782966
baseline_replica_0,2,580,0.00434404286671
baseline_replica_0,2,600,0.00425063761319
baseline_replica_0,2,620,0.0042244042683
baseline_replica_0,2,640,0.00417088492728
baseline_replica_0,2,660,0.00418285963262
baseline_replica_0,2,680,0.0042052587751
baseline_replica_0,2,700,0.00411369725618
baseline_replica_0,2,720,0.00409095998935
baseline_replica_0,2,740,0.00401400161401
baseline_replica_0,2,760,0.00407702671473
baseline_replica_0,2,780,0.0041283450577
baseline_replica_0,2,800,0.00413730854252
baseline_replica_0,2,820,0.00415489100811
baseline_replica_0,2,840,0.00423247459449
baseline_replica_0,2,860,0.00426973844845
baseline_replica_0,2,880,0.00429555073284
baseline_replica_0,2,900,0.00426290578493
baseline_replica_0,2,920,0.00426817542085
baseline_replica_0,2,940,0.00430894811228
baseline_replica_0,2,960,0.00426118964442
baseline_replica_0,2,980,0.00421385861677
baseline_replica_0,2,1000,0.00420819981888
baseline_replica_1,2,20,0
baseline_replica_1,2,40,0.000530820577685
baseline_replica_1,2,60,0.00187367963192
baseline_replica_1,2,80,0.00309063313869
baseline_replica_1,2,100,0.00399982255183
baseline_replica_1,2,120,0.00464823160112
baseline_replica_1,2,140,0.00504239513188
baseline_replica_1,2,160,0.00526314633947
baseline_replica_1,2,180,0.00536745848501
baseline_replica_1,2,200,0.00544173746298
baseline_replica_1,2,220,0.00537423870989
baseline_replica_1,2,240,0.00533224005974
baseline_replica_1,2,260,0.00534809932862
baseline_replica_1,2,280,0.00529243045362
baseline_replica_1,2,300,0.00523629019156
baseline_replica_1,2,320,0.00513880347241
baseline_replica_1,2,340,0.00502723971492
baseline_replica_1,2,360,0.00499915021181
baseline_replica_1,2,380,0.00486573475812
baseline_replica_1,2,400,0.00478718100979
baseline_replica_1,2,420,0.00472685638037
baseline_replica_1,2,440,0.00461909600618
baseline_replica_1,2,460,0.00458764867742
baseline_replica_1,2,480,0.00461719108585
baseline_replica_1,2,500,0.00461232223865
baseline_replica_1,2,520,0.00455794483506
baseline_replica_1,2,540,0.00453886334502
baseline_replica_1,2,560,0.00454635387918
baseline_replica_1,2,580,0.00456093459136
baseline_replica_1,2,600,0.00462080074843
baseline_replica_1,2,620,0.00467734136663
baseline_replica_1,2,640,0.00475324114122
baseline_replica_1,2,660,0.00471879759879
baseline_replica_1,2,680,0.00467514586524
baseline_replica_1,2,700,0.00468693699918
baseline_replica_1,2,720,0.00473990024158
baseline_replica_1,2,740,0.00476078333423
baseline_replica_1,2,760,0.00479824891975
baseline_replica_1,2,780,0.004856074552
baseline_replica_1,2,800,0.00489049872235
baseline_replica_1,2,820,0.00481129923832
baseline_replica_1,2,840,0.00475756757043
baseline_replica_1,2,860,0.00468296572461
baseline_replica_1,2,880,0.00468521934221
baseline_replica_1,2,900,0.00473771119755
baseline_replica_1,2,920,0.00469788221936
baseline_replica_1,2,940,0.00475953706433
baseline_replica_1,2,960,0.00476541325923
baseline_replica_1,2,980,0.0047037519569
baseline_replica_1,2,1000,0.00459236254805
baseline_replica_2,2,20,0
baseline_replica_2,2,40,0.000449260182618
baseline_replica_2,2,60,0.00171222900633
baseline_replica_2,2,80,0.00292405610568
baseline_replica_2,2,100,0.00379840003574
baseline_replica_2,2,120,0.00438274135408
baseline_replica_2,2,140,0.00487291109583
baseline_replica_2,2,160,0.00512652489347
baseline_replica_2,2,180,0.00529419359707
baseline_replica_2,2,200,0.00539371366077
baseline_replica_2,2,220,0.00544747232346
baseline_replica_2,2,240,0.00545422160481
baseline_replica_2,2,260,0.00544835100348
baseline_replica_2,2,280,0.00541746349043
baseline_replica_2,2,300,0.00534404277037
baseline_replica_2,2,320,0.00518376007278
baseline_replica_2,2,340,0.00505493794042
baseline_replica_2,2,360,0.00489005172356
baseline_replica_2,2,380,0.00469353302581
baseline_replica_2,2,400,0.00448897249565
baseline_replica_2,2,420,0.00438772690813
baseline_replica_2,2,440,0.00437929667369
baseline_replica_2,2,460,0.00423456915943
baseline_replica_2,2,480,0.00412792414684
baseline_replica_2,2,500,0.00406656299176
baseline_replica_2,2,520,0.00408116945537
baseline_replica_2,2,540,0.00406232240555
baseline_replica_2,2,560,0.00410544776649
baseline_replica_2,2,580,0.00409662276276
baseline_replica_2,2,600,0.00410796919613
baseline_replica_2,2,620,0.00416006600746
baseline_replica_2,2,640,0.00426914967549
baseline_replica_2,2,660,0.00432691333626
baseline_replica_2,2,680,0.00438358183062
baseline_replica_2,2,700,0.00438838273453
baseline_replica_2,2,720,0.00438675908666
baseline_replica_2,2,740,0.00448280263373
baseline_replica_2,2,760,0.00448710689241
baseline_replica_2,2,780,0.0045422472476
baseline_replica_2,2,800,0.00459275861454
baseline_replica_2,2,820,0.00471465954988
baseline_replica_2,2,840,0.00468484173426
baseline_replica_2,2,860,0.0046197366382
baseline_replica_2,2,880,0.00448830393476
baseline_replica_2,2,900,0.0044899912551
baseline_replica_2,2,920,0.00440566980893
baseline_replica_2,2,940,0.00440927367048
baseline_replica_2,2,960,0.00442835630842
baseline_replica_2,2,980,0.00443352014538
baseline_replica_2,2,1000,0.00439331098336
fine_dt_0_5fs,0.5,20,0
fine_dt_0_5fs,0.5,40,0.00045972090182
