speed,direction,replica_index,frame_index,center_angstrom,distance_angstrom,work_increment_ev,cumulative_work_ev
fast,forward,0,0,3.8,3.4038894484,0.000655225681012,0.000655225681012
fast,forward,0,1,3.87551020408,3.47947379308,0.000655113713568,0.00131033939458
fast,forward,0,2,3.95102040816,3.59422973577,0.000595844638937,0.00190618403352
fast,forward,0,3,4.02653061224,3.7367183905,0.000494693509397,0.00240087754291
fast,forward,0,4,4.10204081633,3.87638966333,0.000397797201481,0.0027986747444
fast,forward,0,5,4.17755102041,3.98982979471,0.000340515270464,0.00313919001486
fast,forward,0,6,4.25306122449,4.06558236863,0.000340149242543,0.0034793392574
fast,forward,0,7,4.32857142857,4.1496682143,0.00032719827362,0.00380653753102
fast,forward,0,8,4.40408163265,4.24349090019,0.000299542688843,0.00410608021986
fast,forward,0,9,4.47959183673,4.29638772115,0.000333693512334,0.0044397737322
fast,forward,0,10,4.55510204082,4.31809980092,0.000414939659249,0.00485471339145
fast,forward,0,11,4.6306122449,4.31194517933,0.000538270212308,0.00539298360376
fast,forward,0,12,4.70612244898,4.29288698934,0.000681087787025,0.00607407139078
fast,forward,0,13,4.78163265306,4.26970385676,0.000830134866878,0.00690420625766
fast,forward,0,14,4.85714285714,4.23186136616,0.00100132056905,0.00790552682671
fast,forward,0,15,4.93265306122,4.19380145932,0.00117283461412,0.00907836144083
fast,forward,0,16,5.00816326531,4.12218389413,0.0013950275718,0.0104733890126
fast,forward,0,17,5.08367346939,4.04762938397,0.00162165591576,0.0120950449284
fast,forward,0,18,5.15918367347,3.97622535166,0.0018435263952,0.0139385713236
fast,forward,0,19,5.23469387755,3.91409001715,0.0020513992494,0.015989970573
fast,forward,0,20,5.31020408163,3.874361577,0.00222543312028,0.0182154036933
fast,forward,0,21,5.38571428571,3.83241246712,0.00240282065565,0.0206182243489
fast,forward,0,22,5.4612244898,3.82450730664,0.00252879487969,0.0231470192286
fast,forward,0,23,5.53673469388,3.85299091097,0.00259981464258,0.0257468338712
fast,forward,0,24,5.61224489796,3.90607046042,0.00263368950875,0.0283805233799
fast,forward,0,25,5.68775510204,3.97387173355,0.00264533156774,0.0310258549477
fast,forward,0,26,5.76326530612,4.02247745412,0.00268596282856,0.0337118177762
fast,forward,0,27,5.8387755102,4.02363227318,0.0027982546345,0.0365100724107
fast,forward,0,28,5.91428571429,3.97173882448,0.00299066015095,0.0395007325617
fast,forward,0,29,5.98979591837,3.90163759962,0.00321056312527,0.042711295687
fast,forward,0,30,6.06530612245,3.85662889863,0.00339257126763,0.0461038669546
fast,forward,0,31,6.14081632653,3.81762992235,0.0035655034992,0.0496693704538
fast,forward,0,32,6.21632653061,3.84949957619,0.00363140963629,0.0533007800901
fast,forward,0,33,6.29183673469,3.94204715331,0.00360567972599,0.0569064598161
fast,forward,0,34,6.36734693878,4.06502556376,0.00353399304698,0.060440452863
fast,forward,0,35,6.44285714286,4.22189337159,0.00341112646173,0.0638515793248
fast,forward,0,36,6.51836734694,4.39998923531,0.00325620117983,0.0671077805046
fast,forward,0,37,6.59387755102,4.60287884885,0.00306383227575,0.0701716127804
fast,forward,0,38,6.6693877551,4.85402679654,0.00279858343847,0.0729701962188
fast,forward,0,39,6.74489795918,5.14260498555,0.00247680729796,0.0754470035168
fast,forward,0,40,6.82040816327,5.44816446926,0.00212938593688,0.0775763894537
fast,forward,0,41,6.89591836735,5.72227964236,0.00182945190204,0.0794058413557
fast,forward,0,42,6.97142857143,5.97023251027,0.00156902828728,0.080974869643
fast,forward,0,43,7.04693877551,6.21914450246,0.00130715619911,0.0822820258421
fast,forward,0,44,7.12244897959,6.4786867447,0.00102923026394,0.083311256106
fast,forward,0,45,7.19795918367,6.74147146538,0.000746407524589,0.0840576636306
fast,forward,0,46,7.27346938776,7.00600847272,0.000460938474762,0.0845186021054
fast,forward,0,47,7.34897959184,7.22753631697,0.000240422038591,0.084759024144
fast,forward,0,48,7.42448979592,7.42997791295,4.87297324638e-05,0.0848077538764
fast,forward,0,49,7.5,7.60225076739,0,0.0848077538764
fast,forward,1,0,3.8,4.20076963679,-0.000548226032077,-0.000548226032077
fast,forward,1,1,3.87551020408,4.16128824559,-0.000374565255526,-0.000922791287603
fast,forward,1,2,3.95102040816,4.09935002918,-0.000166990089876,-0.00108978137748
fast,forward,1,3,4.02653061224,4.02055017886,6.60495841074e-05,-0.00102373179337
fast,forward,1,4,4.10204081633,3.91851922034,0.000334172972536,-0.000689558820836
fast,forward,1,5,4.17755102041,3.83925521014,0.00056791362267,-0.000121645198166
fast,forward,1,6,4.25306122449,3.80550657717,0.000732916764339,0.000611271566172
fast,forward,1,7,4.32857142857,3.80529626416,0.000847270198312,0.00145854176448
fast,forward,1,8,4.40408163265,3.8318280878,0.000921237548373,0.00237977931286
fast,forward,1,9,4.47959183673,3.84316810557,0.00101814762566,0.00339792693852
fast,forward,1,10,4.55510204082,3.84372721655,0.00113133907238,0.0045292660109
fast,forward,1,11,4.6306122449,3.82846778042,0.00126841975351,0.00579768576441
fast,forward,1,12,4.70612244898,3.87011851691,0.00131955445968,0.00711724022409
fast,forward,1,13,4.78163265306,3.89723651223,0.00139263657087,0.00850987679497
fast,forward,1,14,4.85714285714,3.87534291311,0.00153973619203,0.010049612987
fast,forward,1,15,4.93265306122,3.88257481745,0.00164285035899,0.011692463346
fast,forward,1,16,5.00816326531,3.86975888142,0.0017762408563,0.0134687042023
fast,forward,1,17,5.08367346939,3.83825139454,0.00193785940999,0.0154065636123
fast,forward,1,18,5.15918367347,3.80907682388,0.0020959547841,0.0175025183964
fast,forward,1,19,5.23469387755,3.80556437184,0.00221529512191,0.0197178135183
fast,forward,1,20,5.31020408163,3.84867476793,0.00226422544419,0.0219820389625
fast,forward,1,21,5.38571428571,3.87549009824,0.00233776464131,0.0243198036038
fast,forward,1,22,5.4612244898,3.96382159714,0.00231840186955,0.0266382054733
fast,forward,1,23,5.53673469388,4.13356110668,0.00217609638783,0.0288143018612
fast,forward,1,24,5.61224489796,4.33734134757,0.0019823824547,0.0307966843159
fast,forward,1,25,5.68775510204,4.53850024531,0.00179262728468,0.0325893116005
fast,forward,1,26,5.76326530612,4.78052843078,0.00154115114952,0.0341304627501
fast,forward,1,27,5.8387755102,5.02242992031,0.00128986635108,0.0354203291011
fast,forward,1,28,5.91428571429,5.25075416713,0.00105908596001,0.0364794150611
fast,forward,1,29,5.98979591837,5.47753158124,0.000830641602005,0.0373100566631
fast,forward,1,30,6.06530612245,5.71214539864,0.000590362675774,0.0379004193389
fast,forward,1,31,6.14081632653,5.94866422412,0.000347206798563,0.0382476261375
fast,forward,1,32,6.21632653061,6.18383311915,0.000106089591824,0.0383537157293
fast,forward,1,33,6.29183673469,6.41619426914,-0.000130787346894,0.0382229283824
fast,forward,1,34,6.36734693878,6.64470034418,-0.000361842335689,0.0378610860467
fast,forward,1,35,6.44285714286,6.815207294,-0.000505306808849,0.0373557792379
fast,forward,1,36,6.51836734694,6.96470912149,-0.00061704926052,0.0367387299774
fast,forward,1,37,6.59387755102,7.1439007676,-0.000773629397459,0.0359651005799
fast,forward,1,38,6.6693877551,7.30078430207,-0.000896519733154,0.0350685808467
fast,forward,1,39,6.74489795918,7.44493435442,-0.00100017991217,0.0340684009346
fast,forward,1,40,6.82040816327,7.56832680928,-0.00107249188273,0.0329959090518
fast,forward,1,41,6.89591836735,7.67438102036,-0.00111861956677,0.0318772894851
fast,forward,1,42,6.97142857143,7.75885668264,-0.00113215923834,0.0307451302467
fast,forward,1,43,7.04693877551,7.85067791165,-0.00115679221477,0.029588338032
fast,forward,1,44,7.12244897959,7.96249605565,-0.00121162461382,0.0283767134181
fast,forward,1,45,7.19795918367,8.09797309255,-0.0013021867695,0.0270745266486
fast,forward,1,46,7.27346938776,8.27268840583,-0.00145200673034,0.0256225199183
fast,forward,1,47,7.34897959184,8.42929262148,-0.00157447523761,0.0240480446807
fast,forward,1,48,7.42448979592,8.54721550669,-0.00163852704175,0.0224095176389
fast,forward,1,49,7.5,8.61184105537,0,0.0224095176389
fast,forward,2,0,3.8,3.41938706424,0.000631821118308,0.000631821118308
fast,forward,2,1,3.87551020408,3.51885883243,0.000595634266393,0.0012274553847
fast,forward,2,2,3.95102040816,3.63192988476,0.000538909720054,0.00176636510475
fast,forward,2,3,4.02653061224,3.79681900534,0.000403929315556,0.00217029442031
fast,forward,2,4,4.10204081633,3.97216035275,0.000253163915416,0.00242345833573
fast,forward,2,5,4.17755102041,4.16276319145,7.93505488485e-05,0.00250280888458
fast,forward,2,6,4.25306122449,4.37410435175,-0.000125781915635,0.00237702696894
fast,forward,2,7,4.32857142857,4.58081404752,-0.000323919923495,0.00205310704545
fast,forward,2,8,4.40408163265,4.76713209795,-0.000491262385327,0.00156184466012
fast,forward,2,9,4.47959183673,4.97548668209,-0.000691884510308,0.000869960149811
fast,forward,2,10,4.55510204082,5.17691388391,-0.000882044874243,-1.20847244317e-05
fast,forward,2,11,4.6306122449,5.3699962632,-0.00105960285313,-0.00107168757756
fast,forward,2,12,4.70612244898,5.53930595896,-0.00120125922831,-0.00227294680588
fast,forward,2,13,4.78163265306,5.69284724396,-0.00131910208522,-0.0035920488911
fast,forward,2,14,4.85714285714,5.8201233745,-0.00139727919864,-0.00498932808974
fast,forward,2,15,4.93265306122,5.92480769924,-0.00144133807474,-0.00643066616448
fast,forward,2,16,5.00816326531,6.02632874069,-0.0014806197475,-0.00791128591198
fast,forward,2,17,5.08367346939,6.10730614426,-0.00148887633448,-0.00940016224646
fast,forward,2,18,5.15918367347,6.17291059998,-0.00147391663287,-0.0108740788793
fast,forward,2,19,5.23469387755,6.22744096125,-0.00144223278863,-0.012316311668
fast,forward,2,20,5.31020408163,6.26940818054,-0.00139157603608,-0.013707887704
fast,forward,2,21,5.38571428571,6.28036689139,-0.00129409010753,-0.0150019778116
fast,forward,2,22,5.4612244898,6.25853735858,-0.00114708723957,-0.0161490650511
fast,forward,2,23,5.53673469388,6.24044035482,-0.00100572125222,-0.0171547863034
fast,forward,2,24,5.61224489796,6.27265940883,-0.000940342780689,-0.018095129084
fast,forward,2,25,5.68775510204,6.32805678286,-0.000909968302644,-0.0190050973867
