time,position,velocity,exact_position,exact_velocity,energy
0,1,0,1,0,0.5
0.8,0.69574528,-0.714688128,0.696706709347,-0.7173560909,0.497420307473
1.6,-0.0318770107154,-0.994481783456,-0.0291995223013,-0.999573603042,0.495005080719
2.4,-0.740101839492,-0.669123885771,-0.737393715541,-0.675463180551,0.497738753664
3.2,-0.997967712376,0.0634022129351,-0.998294775795,0.0583741434276,0.499979697775
4,-0.648560811464,0.757347466553,-0.653643620864,0.756802495308,0.497103155631
4.8,0.0955014656376,0.990439637414,0.0874989834394,0.996164608836,0.49504560265
5.6,0.781450199365,0.620839939158,0.77556587851,0.631266637872,0.49805332207
6.4,0.991879109889,-0.126546722805,0.993184918758,-0.11654920485,0.499919120843
7.2,0.598740218707,-0.79692850934,0.608351314532,-0.793667863849,0.496792449247
8,-0.158737747666,-0.982371774936,-0.145500033809,-0.989358246623,0.495125988363
8.8,-0.8196222961,-0.570032541894,-0.811093014062,-0.584917192892,0.498358903541
9.6,-0.981758940122,0.189176873997,-0.984687855794,0.174326781223,0.499819253083
10.4,-0.546486001276,0.833270376232,-0.560984257427,0.827826469086,0.496493234748
11.2,0.221328828175,0.970310988457,0.203004863819,0.979177729151,0.495244932251
12,0.854462976337,0.51690820447,0.843853958732,0.536572918,0.49865053489
12.8,0.967648337267,-0.25103810155,0.972832565697,-0.231509825102,0.499681716523
13.6,0.49201055037,-0.866225352977,0.511703992453,-0.859161814856,0.496210371908
14.4,-0.283020301006,-0.954306299951,-0.259817356214,-0.965657776549,0.495400502454
15.2,-0.885830627509,-0.461682854753,-0.873736983011,-0.486398688854,0.498923479503
16,-0.949604654932,0.311878965849,-0.957659480323,0.287903316665,0.499508745003
16.8,-0.43553528556,0.895659491594,-0.460678587411,0.887567033582,0.495948454925
17.6,0.343561416528,0.934422761678,0.315743754919,0.948844497918,0.495590172235
18.4,0.913597753439,0.404580960331,0.900640172385,0.434565622072,0.499173304275
19.2,0.92770123302,-0.371452174622,0.939220346697,-0.34331492882,0.499303147889
20,0.377289754808,-0.921453154809,0.408082061813,-0.912945250728,0.495711737795
20.8,-0.402706100819,-0.910741191777,-0.370593325838,-0.928795234077,0.495810861018
21.6,-0.937651492553,-0.345834616152,-0.924471774914,-0.381250491655,0.499395951607
22.4,-0.902027099638,0.429515588081,-0.917578050532,0.397555683121,0.499068264442
23.2,-0.317510701457,0.943501502339,-0.354093793396,0.935209915195,0.495504065228
24,0.460213955861,0.88335784577,0.424179007337,0.905578362007,0.496058984426
24.8,0.957894076618,0.285682601152,0.945150514148,0.326635126105,0.49958780531
25.6,0.872686609233,-0.485833203111,0.892806401763,-0.450440594275,0.49880790959
26.4,0.256441101968,-0.961714917015,0.298897906364,-0.954285094493,0.495328810194
27.2,-0.515851236648,-0.852384025327,-0.476318048215,-0.879273061651,0.496330512492
28,-0.974243228128,-0.224369407722,-0.962605866314,-0.270905788308,0.499745749338
28.8,-0.839799018436,0.540176112529,-0.86498988282,0.501789301021,0.498526311957
29.6,-0.194329178323,0.976019369043,-0.242682643443,0.970105733707,0.495188819148
30.4,0.569391801267,0.817945625872,0.526832630963,0.849969045879,0.496621035117
31.2,0.986632494728,0.162144247951,0.976778300832,0.214252540296,0.499867218398
32,0.803498001336,-0.59232343549,0.834223360507,-0.551426681242,0.498228045191
32.8,0.13142738911,-0.986356716902,0.185639723886,-0.982617877364,0.495086365793
33.6,-0.620618030064,-0.780182624872,-0.575550478201,-0.817766254526,0.496925833696
34.4,-0.99501151931,-0.0992600406829,-0.987619483347,-0.156868595048,0.499950239618
35.2,-0.763931106147,0.642063215276,-0.800611762459,0.599183449214,0.497917953675
36,-0.0679914033837,0.992684943663,-0.127963689627,0.991778853443,0.495023114155
36.8,0.669321710177,0.739248512885,0.622305440227,0.782774513551,0.497239957759
37.6,0.999346244698,0.0359723835105,0.995092440566,0.0989496575503,0.499993464584
38.4,0.721259155492,-0.689193280809,0.764269719299,-0.644896732945,0.497601073847
39.2,0.00427906148233,-0.994978327772,0.0698512418071,-0.997557418908,0.495000091552
40,-0.715304881834,-0.69530966969,-0.666938061652,-0.745113160479,0.49755830537
40.8,-0.999619052076,0.0274614861216,-0.999171686351,-0.0406932573499,0.499996191246
41.6,-0.675655592726,0.733522068392,-0.725321173689,0.688410629638,0.4972825524
42.4,0.0594506729864,0.993227547598,-0.0115005699303,0.999933866259,0.495017671913
