case,time_step_fs,time_fs,relative_energy_error
verlet_dt_0_5fs,0.5,2040,0.00422714996537
verlet_dt_0_5fs,0.5,2060,0.00426175652906
verlet_dt_0_5fs,0.5,2080,0.00433095070495
verlet_dt_0_5fs,0.5,2100,0.00435862890446
verlet_dt_0_5fs,0.5,2120,0.00437938810518
verlet_dt_0_5fs,0.5,2140,0.0044451574331
verlet_dt_0_5fs,0.5,2160,0.0045732394232
verlet_dt_0_5fs,0.5,2180,0.00463210127956
verlet_dt_0_5fs,0.5,2200,0.00470480888448
verlet_dt_0_5fs,0.5,2220,0.00474983773573
verlet_dt_0_5fs,0.5,2240,0.00484331568534
verlet_dt_0_5fs,0.5,2260,0.00490218583326
verlet_dt_0_5fs,0.5,2280,0.0049021773732
verlet_dt_0_5fs,0.5,2300,0.00492640206233
verlet_dt_0_5fs,0.5,2320,0.00494022411102
verlet_dt_0_5fs,0.5,2340,0.00494710503515
verlet_dt_0_5fs,0.5,2360,0.00503708749935
verlet_dt_0_5fs,0.5,2380,0.00497825103751
verlet_dt_0_5fs,0.5,2400,0.00488134812171
verlet_dt_0_5fs,0.5,2420,0.0048640651148
verlet_dt_0_5fs,0.5,2440,0.00479482712416
verlet_dt_0_5fs,0.5,2460,0.00468749601941
verlet_dt_0_5fs,0.5,2480,0.00467708840566
verlet_dt_0_5fs,0.5,2500,0.00455590988032
verlet_dt_0_5fs,0.5,2520,0.00451781540012
verlet_dt_0_5fs,0.5,2540,0.00452819741252
verlet_dt_0_5fs,0.5,2560,0.00449012540759
verlet_dt_0_5fs,0.5,2580,0.0045974481534
verlet_dt_0_5fs,0.5,2600,0.00461131038896
verlet_dt_0_5fs,0.5,2620,0.00467364144728
verlet_dt_0_5fs,0.5,2640,0.00474290156187
verlet_dt_0_5fs,0.5,2660,0.00472560183618
verlet_dt_0_5fs,0.5,2680,0.00468055532094
verlet_dt_0_5fs,0.5,2700,0.00464241864253
verlet_dt_0_5fs,0.5,2720,0.0046043037512
verlet_dt_0_5fs,0.5,2740,0.00474970422779
verlet_dt_0_5fs,0.5,2760,0.00478091702709
verlet_dt_0_5fs,0.5,2780,0.0048260104027
verlet_dt_0_5fs,0.5,2800,0.00470142780842
verlet_dt_0_5fs,0.5,2820,0.00471526111222
verlet_dt_0_5fs,0.5,2840,0.00470484565339
verlet_dt_0_5fs,0.5,2860,0.00469095468085
verlet_dt_0_5fs,0.5,2880,0.00453860770733
verlet_dt_0_5fs,0.5,2900,0.00446935465212
verlet_dt_0_5fs,0.5,2920,0.0043032114841
verlet_dt_0_5fs,0.5,2940,0.00418553782372
verlet_dt_0_5fs,0.5,2960,0.0042547972422
verlet_dt_0_5fs,0.5,2980,0.00429286971905
verlet_dt_0_5fs,0.5,3000,0.00426863536747
verlet_dt_0_5fs,0.5,3020,0.0042340207815
verlet_dt_0_5fs,0.5,3040,0.00434829586243
verlet_dt_0_5fs,0.5,3060,0.00436562983172
verlet_dt_0_5fs,0.5,3080,0.00448335277038
verlet_dt_0_5fs,0.5,3100,0.00455257917387
verlet_dt_0_5fs,0.5,3120,0.00460102744395
verlet_dt_0_5fs,0.5,3140,0.00466331899035
verlet_dt_0_5fs,0.5,3160,0.00467024424796
verlet_dt_0_5fs,0.5,3180,0.00463561639767
verlet_dt_0_5fs,0.5,3200,0.00467368754425
verlet_dt_0_5fs,0.5,3220,0.00472214386664
verlet_dt_0_5fs,0.5,3240,0.00470830135339
verlet_dt_0_5fs,0.5,3260,0.00476718049761
verlet_dt_0_5fs,0.5,3280,0.00484684277767
verlet_dt_0_5fs,0.5,3300,0.00493340493906
verlet_dt_0_5fs,0.5,3320,0.0048399286021
verlet_dt_0_5fs,0.5,3340,0.00480183472044
verlet_dt_0_5fs,0.5,3360,0.00478102862558
verlet_dt_0_5fs,0.5,3380,0.00477753858315
verlet_dt_0_5fs,0.5,3400,0.00464943424425
verlet_dt_0_5fs,0.5,3420,0.0046217101137
verlet_dt_0_5fs,0.5,3440,0.00463555204115
verlet_dt_0_5fs,0.5,3460,0.00469441331441
verlet_dt_0_5fs,0.5,3480,0.00478791056784
verlet_dt_0_5fs,0.5,3500,0.00484679214775
verlet_dt_0_5fs,0.5,3520,0.00481567039771
verlet_dt_0_5fs,0.5,3540,0.00486762697277
verlet_dt_0_5fs,0.5,3560,0.00479840737532
verlet_dt_0_5fs,0.5,3580,0.00469107475751
verlet_dt_0_5fs,0.5,3600,0.00463218608552
verlet_dt_0_5fs,0.5,3620,0.00466676887155
verlet_dt_0_5fs,0.5,3640,0.00462864778424
verlet_dt_0_5fs,0.5,3660,0.00464594605376
verlet_dt_0_5fs,0.5,3680,0.00473250510858
verlet_dt_0_5fs,0.5,3700,0.00478100402573
verlet_dt_0_5fs,0.5,3720,0.00477064818025
verlet_dt_0_5fs,0.5,3740,0.00483990863881
verlet_dt_0_5fs,0.5,3760,0.00495762174914
verlet_dt_0_5fs,0.5,3780,0.00491261900972
verlet_dt_0_5fs,0.5,3800,0.00500955973324
verlet_dt_0_5fs,0.5,3820,0.00499917924307
verlet_dt_0_5fs,0.5,3840,0.00496109186975
verlet_dt_0_5fs,0.5,3860,0.00495761053466
verlet_dt_0_5fs,0.5,3880,0.00489876508822
verlet_dt_0_5fs,0.5,3900,0.00487800211027
