true_pmf_x,true_pmf_y,histogram_pmf_x,histogram_pmf_y,reweighted_pmf_x,reweighted_pmf_y,rdf_x,rdf_y,rdf_pmf_x,rdf_pmf_y,argon_rdf_x,argon_rdf_y,argon_rdf_pmf_x,argon_rdf_pmf_y
-2.5,27.5625,-2.47,nan,-2.47,nan,0.5,1.00031452868,0.5,1.70508661817,0.015,0,0.015,nan
-2.49583333333,27.3443655964,-2.41,nan,-2.41,nan,0.51129707113,1.00042720409,0.51129707113,1.70497398453,0.045,0,0.045,nan
-2.49166666667,27.1274594956,-2.35,nan,-2.35,nan,0.522594142259,1.00057737774,0.522594142259,1.70482388628,0.075,0,0.075,nan
-2.4875,26.9117773682,-2.29,nan,-2.29,nan,0.533891213389,1.00077648268,0.533891213389,1.70462491602,0.105,0,0.105,nan
-2.48333333333,26.697314892,-2.23,nan,-2.23,nan,0.545188284519,1.0010390792,0.545188284519,1.70436255766,0.135,0,0.135,nan
-2.47916666667,26.484067752,-2.17,nan,-2.17,nan,0.556485355649,1.00138359518,0.556485355649,1.70401845849,0.165,0,0.165,nan
-2.475,26.2720316406,-2.11,nan,-2.11,nan,0.567782426778,1.0018332074,0.567782426778,1.70356956827,0.195,0,0.195,nan
-2.47083333333,26.0612022572,-2.05,nan,-2.05,nan,0.579079497908,1.00241688069,0.579079497908,1.70298713266,0.225,0,0.225,nan
-2.46666666667,25.8515753086,-1.99,7.85438121065,-1.99,nan,0.590376569038,1.00317058168,0.590376569038,1.7022355314,0.255,0,0.255,nan
-2.4625,25.6431465088,-1.93,nan,-1.93,nan,0.601673640167,1.0041386817,0.601673640167,1.70127095648,0.285,0,0.285,nan
-2.45833333333,25.4359115789,-1.87,6.06262174142,-1.87,nan,0.612970711297,1.00537556112,0.612970711297,1.70003993303,0.315,0,0.315,nan
-2.45416666667,25.2298662474,-1.81,5.14633100955,-1.81,nan,0.624267782427,1.00694742288,0.624267782427,1.69847769666,0.345,0,0.345,nan
-2.45,25.02500625,-1.75,4.21679505093,-1.75,nan,0.635564853556,1.00893431704,0.635564853556,1.69650645522,0.375,0,0.375,nan
-2.44583333333,24.8213273296,-1.69,3.44766196339,-1.69,2.02775765157,0.646861924686,1.01143237059,0.646861924686,1.69403358252,0.405,0,0.405,nan
-2.44166666667,24.6188252363,-1.63,2.85043490471,-1.63,nan,0.658158995816,1.01455620658,0.658158995816,1.69094981541,0.435,0,0.435,nan
-2.4375,24.4174957275,-1.57,2.20189203038,-1.57,2.74199376268,0.669456066946,1.01844152508,0.669456066946,1.68712755514,0.465,0,0.465,nan
-2.43333333333,24.2173345679,-1.51,1.75182261604,-1.51,2.94442431824,0.680753138075,1.02324780365,0.680753138075,1.68241940745,0.495,0,0.495,nan
-2.42916666667,24.0183375292,-1.45,1.29618340784,-1.45,1.04635765753,0.692050209205,1.02916105936,0.692050209205,1.67665713252,0.525,0,0.525,nan
-2.425,23.8205003906,-1.39,0.983289916042,-1.39,1.10359713483,0.703347280335,1.03639659601,0.703347280335,1.66965121212,0.555,0,0.555,nan
-2.42083333333,23.6238189384,-1.33,0.63327611247,-1.33,0.405052871878,0.714644351464,1.0452016406,0.714644351464,1.66119127307,0.585,0,0.585,nan
-2.41666666667,23.428288966,-1.27,0.487936062325,-1.27,0.53814409121,0.725941422594,1.05585775314,0.725941422594,1.65104762464,0.615,0,0.615,nan
-2.4125,23.2339062744,-1.21,0.288587928224,-1.21,0.666645914718,0.737238493724,1.06868287341,0.737238493724,1.6389741666,0.645,0,0.645,nan
-2.40833333333,23.0406666715,-1.15,0.0986140405494,-1.15,0.339661925992,0.748535564854,1.08403284907,0.748535564854,1.62471289127,0.675,0,0.675,nan
-2.40416666667,22.8485659725,-1.09,0.119822366298,-1.09,0.208835954721,0.759832635983,1.10230227268,0.759832635983,1.60800012965,0.705,0,0.705,nan
-2.4,22.6576,-1.03,0,-1.03,0,0.771129707113,1.12392444161,0.771129707113,1.58857457095,0.735,0,0.735,nan
-2.39583333333,22.4677645836,-0.97,0.0661696528053,-0.97,0.0697979426726,0.782426778243,1.14937024676,0.782426778243,1.56618691652,0.765,0,0.765,nan
-2.39166666667,22.2790555604,-0.91,0.100328571617,-0.91,0.147184711504,0.793723849372,1.17914579437,0.793723849372,1.54061082413,0.795,0,0.795,nan
-2.3875,22.0914687744,-0.85,0.111979188837,-0.85,0.182297418427,0.805020920502,1.21378857185,0.805020920502,1.5116545782,0.825,0,0.825,nan
-2.38333333333,21.9050000772,-0.79,0.198044044222,-0.79,0.268438666629,0.816317991632,1.25386198483,0.816317991632,1.47917272119,0.855,0,0.855,nan
-2.37916666667,21.7196453273,-0.73,0.247496679433,-0.73,0.430756249075,0.827615062762,1.29994811997,0.827615062762,1.44307674143,0.885,0,0.885,nan
-2.375,21.5354003906,-0.67,0.385867939156,-0.67,0.561709087024,0.838912133891,1.35263862677,0.838912133891,1.40334387422,0.915,0.00125263201031,0.915,nan
-2.37083333333,21.3522611403,-0.61,0.462349643138,-0.61,0.631875209026,0.850209205021,1.4125236626,0.850209205021,1.36002316121,0.945,0.0415726557957,0.945,nan
-2.36666666667,21.1702234568,-0.55,0.505793679725,-0.55,0.696853015376,0.861506276151,1.48017890834,0.861506276151,1.31323813291,0.975,0.288050063155,0.975,1.64288334179
-2.3625,20.9892832275,-0.49,0.626718711924,-0.49,0.871817988766,0.87280334728,1.55615073584,0.87280334728,1.2631858024,1.005,0.928381164436,1.005,0.82366767839
