time,replica_index,volume_factor,number_density,pressure,kinetic_temperature,potential_energy_per_atom,total_energy_per_atom
40,0,0.917360791139,1.09008365047,2.05279109992,0.6323351937,-7.9793699418,-7.03086715125
40.4,0,0.915645464611,1.09212576117,2.12203016397,0.678603322169,-7.97831497796,-6.9604099947
40.8,0,0.917858618928,1.08949241133,1.90475116521,0.649763212622,-7.98146684793,-7.006822029
41.2,0,0.924988553064,1.0810944597,1.38065428415,0.691131566211,-7.98705339292,-6.9503560436
41.6,0,0.9302997198,1.07492239191,1.03295151148,0.702417132289,-7.98905002261,-6.93542432418
42,0,0.923072263897,1.08333880143,1.69012138842,0.789910263014,-7.98411050597,-6.79924511145
42.4,0,0.925351903221,1.08066995542,1.37768921405,0.729853971998,-7.9870764229,-6.8922954649
42.8,0,0.932412901398,1.07248623276,0.879723754534,0.673584987668,-7.9894605212,-6.9790830397
43.2,0,0.936479510956,1.06782902167,0.501237559041,0.76277430572,-7.98915020044,-6.84498874186
43.6,0,0.934291197478,1.07033010982,0.70291499609,0.733671582127,-7.98955684746,-6.88904947427
44,0,0.928727064776,1.07674260601,0.991694733788,0.693044879358,-7.9891897053,-6.94962238626
44.4,0,0.925818388522,1.0801254462,1.35851154603,0.760016891367,-7.9872229478,-6.84719761075
44.8,0,0.925474187963,1.08052716435,1.3814468774,0.682422981712,-7.98704721976,-6.96341274719
45.2,0,0.934355491223,1.07025645955,0.576402243095,0.637102545485,-7.98936780793,-7.0337139897
45.6,0,0.933116881512,1.07167710692,0.931942817712,0.597525674763,-7.98935408094,-7.0930655688
46,0,0.925985065355,1.07993102418,1.18789347071,0.760974915578,-7.98833838373,-6.84687601037
46.4,0,0.920600027883,1.08624806617,1.68876928387,0.72449474773,-7.98412563221,-6.89738351062
46.8,0,0.917958414244,1.0893739678,1.9850369798,0.668934129909,-7.9803567503,-6.97695555544
47.2,0,0.91866944521,1.0885308151,1.93786420581,0.716714617241,-7.98101684946,-6.9059449236
47.6,0,0.930474770497,1.07472016621,1.10335058622,0.827129121644,-7.98876297249,-6.74806929002
48,0,0.924781202526,1.08133685813,1.57096127525,0.712675295013,-7.98536825166,-6.91635530914
48.4,0,0.92215796361,1.08441290913,1.58243929842,0.703752432488,-7.98525378556,-6.92962513683
48.8,0,0.925610027488,1.08036858969,1.46117105679,0.727775313878,-7.98638985769,-6.89472688687
49.2,0,0.929196706188,1.07619839087,1.06558139949,0.666161175227,-7.98892456449,-6.98968280165
49.6,0,0.932334480834,1.07257644178,0.876217760818,0.705800330303,-7.98946641215,-6.93076591669
50,0,0.936957171775,1.06728464238,0.418261033557,0.667144638829,-7.9888165198,-6.98809956155
50.4,0,0.938610117528,1.06540509347,0.347495948479,0.720534029081,-7.9884528607,-6.90765181708
50.8,0,0.931140050807,1.07395230087,0.932950124189,0.743076852893,-7.98935168481,-6.87473640547
51.2,0,0.926144246931,1.07974541041,1.29934901428,0.68238920243,-7.98764828133,-6.96406447768
51.6,0,0.919756376855,1.08724443251,1.73919721407,0.72530250072,-7.98354837559,-6.89559462451
52,0,0.923219787095,1.08316569248,1.64172699119,0.621103884616,-7.98463975378,-7.05298392685
52.4,0,0.93115937445,1.07393001396,0.970320193785,0.659170074896,-7.98925368739,-7.00049857504
52.8,0,0.930222508314,1.07501161395,0.894131690663,0.644368899392,-7.98943464843,-7.02288129935
53.2,0,0.928865103009,1.07658259177,0.990350954706,0.701453027089,-7.98919389694,-6.9370143563
53.6,0,0.932584071499,1.07228938448,1.0036900759,0.705213563647,-7.98915128533,-6.93133093986
54,0,0.925477723046,1.08052303702,1.36470689603,0.741426574666,-7.9871760737,-6.8750362117
54.4,0,0.921969534196,1.08463453825,1.69398219313,0.650663667038,-7.98406720746,-7.0080717069
54.8,0,0.923781302871,1.08250729571,1.41131271156,0.733181381159,-7.98680939188,-6.88703732014
55.2,0,0.927134630328,1.07859200518,1.34813770352,0.811245016104,-7.98730044936,-6.7704329252
55.6,0,0.930414935832,1.07478928109,1.01373001068,0.683184551987,-7.98911774422,-6.96434091624
56,0,0.928438136648,1.0770776862,0.93752954553,0.707711168646,-7.98934062865,-6.92777387568
56.4,0,0.931231252922,1.07384712107,0.919977042665,0.669767714984,-7.98938155512,-6.98472998264
56.8,0,0.929351309861,1.07601935822,1.15131118436,0.633965809158,-7.98853270095,-7.03758398721
57.2,0,0.932700228651,1.07215584309,0.66564089175,0.662383987556,-7.9895239255,-6.99594794417
57.6,0,0.926585124015,1.07923165836,1.2411455148,0.681436409112,-7.98802695229,-6.96587233862
58,0,0.928793771597,1.07666527337,1.15677468316,0.701303508654,-7.98850470224,-6.93654943926
58.4,0,0.935885559617,1.06850670974,0.674814387279,0.763595302863,-7.98953377781,-6.84414082352
58.8,0,0.932236813073,1.07268881252,0.781111964048,0.66803708646,-7.98956517598,-6.98750954629
59.2,0,0.937226872299,1.06697751586,0.533769647146,0.700336660837,-7.98925416036,-6.9387491691
59.6,0,0.939035008171,1.06492302342,0.376578559322,0.634480174036,-7.98861122618,-7.03689096513
60,0,0.941755279122,1.06184698103,0.233025588053,0.708234469269,-7.98770667977,-6.92535497586
60.4,0,0.938296554066,1.06576113454,0.455089404257,0.617228100118,-7.9889768564,-7.06313470622
60.8,0,0.93797852026,1.06612249471,0.492888899436,0.768690470996,-7.98912109759,-6.8360853911
61.2,0,0.939522608982,1.06437034132,0.367191011617,0.667608840884,-7.98856147292,-6.9871482116
61.6,0,0.937719407303,1.06641708832,0.551288497885,0.722985159952,-7.98930394894,-6.90482620901
