time,fast_barostat_volume,fast_barostat_pressure,moderate_barostat_volume,moderate_barostat_pressure,slow_barostat_volume,slow_barostat_pressure
250,999.142373395,1.08576266053,998.881617802,1.11183821978,1004.79343733,0.52065626716
252,1001.98528712,0.80147128809,1000.00505093,0.999494907007,1003.79631858,0.62036814203
254,995.879740414,1.41202595858,1002.03402466,0.796597533656,1002.34596333,0.765403666998
256,993.851955027,1.61480449727,1004.1061852,0.589381480468,1001.89340324,0.810659676323
258,996.954896668,1.30451033316,1002.46450433,0.75354956654,1002.108823,0.789117700165
260,1002.5921726,0.740782740165,996.804130512,1.31958694879,1002.39220305,0.760779695394
262,997.520788466,1.24792115337,999.974309413,1.00256905875,999.820549265,1.01794507346
264,999.195828673,1.08041713268,997.716976542,1.22830234575,999.803175219,1.01968247808
266,997.803299741,1.21967002589,1003.52052925,0.647947075215,1001.91129949,0.808870051128
268,1001.31395632,0.868604368168,1005.93875045,0.406124954566,1001.72516222,0.827483778358
270,999.576384845,1.04236151549,999.700266739,1.0299733261,1002.9341204,0.706587959623
272,997.193976281,1.28060237192,996.712945027,1.3287054973,1002.56138879,0.743861120539
274,1004.23983421,0.576016578662,1002.73250628,0.726749372478,1004.18801356,0.581198644013
276,998.204776613,1.17952233867,993.035633231,1.69643667694,1005.0164178,0.498358220414
278,996.432605621,1.35673943788,996.552784519,1.34472154815,1001.24103653,0.875896347359
280,994.294189082,1.57058109177,998.638283727,1.1361716273,1000.46012939,0.95398706132
282,1002.5941607,0.740583930119,995.69227226,1.43077277395,1000.86392512,0.913607488137
284,998.430772368,1.15692276317,998.701942441,1.12980575592,1003.4040576,0.65959423972
286,1002.69532108,0.730467891719,1000.42882464,0.957117535599,1000.97045773,0.902954226877
288,999.576648813,1.04233511872,1001.09824933,0.89017506685,1004.67177522,0.532822478235
290,1001.71825776,0.828174224269,1004.84735601,0.515264398573,1008.65219547,0.134780452901
292,1002.57688659,0.742311341216,1008.10757807,0.189242192855,1007.74882665,0.225117334723
294,996.524288507,1.34757114934,1008.0918656,0.190813439786,1003.86440908,0.613559092433
296,993.495398724,1.65046012761,1001.46500374,0.853499626259,999.173903529,1.08260964714
298,999.824898063,1.0175101937,995.171822766,1.48281772335,996.727609881,1.32723901192
300,995.796081989,1.42039180105,997.57857443,1.242142557,994.318708172,1.56812918282
302,1001.22318885,0.877681114677,1001.94441832,0.805558168174,997.641049273,1.23589507268
304,1002.09160854,0.790839145583,1001.59563153,0.84043684677,1000.2038276,0.979617240406
306,996.256903853,1.37430961468,1001.25287858,0.874712142448,999.012437038,1.09875629624
308,999.769090891,1.02309091091,1002.4330797,0.75669202954,999.71576542,1.02842345797
310,1002.44584444,0.755415555713,999.773519497,1.02264805028,995.587445845,1.4412554155
312,1001.45051264,0.854948735517,1004.67450943,0.532549057461,996.551693277,1.34483067231
314,997.127996429,1.28720035713,998.950696704,1.10493032964,998.231361911,1.17686380891
316,996.788834509,1.32111654912,999.423568466,1.0576431534,1000.9800218,0.901997820478
318,998.286767893,1.17132321071,991.613882292,1.83861177079,1001.44095094,0.85590490626
320,993.398163849,1.66018361508,996.736972707,1.32630272926,998.508790732,1.1491209268
322,999.366798815,1.06332011848,993.948170895,1.6051829105,997.909205565,1.20907944348
324,1006.70599383,0.329400617382,994.917566845,1.50824331547,1002.07420768,0.792579232276
326,993.925133549,1.6074866451,993.671917043,1.63280829574,999.493896532,1.05061034676
328,1000.12779538,0.987220462228,997.304613502,1.2695386498,1003.72306788,0.627693212371
330,1001.71307164,0.828692836317,1000.38679615,0.961320384826,1001.77502827,0.822497173467
332,1003.18840211,0.681159788793,999.871912458,1.01280875423,1001.65447792,0.834552208355
334,994.734053401,1.52659465992,1001.7301851,0.826981490379,999.926554697,1.00734453026
