true_x,true_pmf,dense_windows_x,dense_windows_pmf,dense_windows_replica_pmf,dense_windows_replica_abs_difference,sparse_windows_x,sparse_windows_pmf,sparse_windows_replica_pmf,sparse_windows_replica_abs_difference,pair_distance_umbrella_x,pair_distance_umbrella_pmf,pair_distance_umbrella_replica_pmf,pair_distance_umbrella_replica_abs_difference,pair_distance_umbrella_true_pmf,pair_distance_umbrella_interaction_pmf,pair_distance_umbrella_true_interaction_pmf
-2.48,26.52662016,-2.48,nan,nan,nan,-2.48,nan,nan,nan,3.05,nan,nan,nan,0.0930097362706,nan,0.0851529360762
-2.44,24.53815296,-2.44,nan,nan,nan,-2.44,nan,nan,nan,3.15,nan,nan,nan,0.0568324877199,nan,0.0495316925389
-2.4,22.6576,-2.4,nan,nan,nan,-2.4,nan,nan,nan,3.25,0.0353071270374,0.0321159854836,0.00829971310166,0.0346870172583,0.0290711495446,0.0279248490598
-2.36,20.88124416,-2.36,nan,nan,nan,-2.36,nan,nan,nan,3.35,0.0216430635117,0.0180314391715,0.00966416441995,0.0212214762978,0.0159293884341,0.0149816105146
-2.32,19.20542976,-2.32,nan,nan,nan,-2.32,nan,nan,nan,3.45,0.0142670824096,0.0133916553704,0.00266068808941,0.0131480724235,0.00906034566265,0.00741514497086
-2.28,17.62656256,-2.28,nan,nan,nan,-2.28,nan,nan,nan,3.55,0.00902507391227,0.00645338969096,0.00662007545141,0.0084281748563,0.00431078954371,0.00318769978207
-2.24,16.14110976,-2.24,nan,nan,nan,-2.24,nan,nan,nan,3.65,0.00502531203446,0.00409207050842,0.00278670461373,0.00578812571385,0.000789799026964,0.00102642200068
-2.2,14.7456,-2.2,nan,nan,nan,-2.2,nan,nan,nan,3.75,0.00376968301041,0.00209837810055,0.0044162328997,0.00442768395955,0,0.000131810243475
-2.16,13.43662336,-2.16,nan,nan,nan,-2.16,nan,nan,nan,3.85,0.00454242077093,0.00328403464414,0.00349507021971,0.00384230383736,0.00122630763923,0
-2.12,12.21083136,-2.12,nan,nan,nan,-2.12,nan,nan,nan,3.95,0.00475346366051,0.00298144121962,0.0046840003167,0.0037135880986,0.0018792891193,0.000313222851721
-2.08,11.06493696,-2.08,nan,nan,nan,-2.08,nan,nan,nan,4.05,0.00664569078592,0.00454810228077,0.0055069788263,0.00384107958027,0.00420240520464,0.000871603293327
-2.04,9.99571456,-2.04,nan,nan,nan,-2.04,nan,nan,nan,4.15,0.00801954069554,0.00788331209956,0.00119043640274,0.00409940715378,0.00599663353221,0.00155030928478
-2,9,-2,nan,nan,nan,-2,7.43895116536,nan,nan,4.25,0.00827617072236,0.00863045083781,0.000255018210769,0.00441114711514,0.00666363200971,0.00227241769682
-1.96,8.07469056,-1.96,7.62322150567,7.63949609499,0.0162745893245,-1.96,7.71255316469,7.85438205659,0.141828891903,4.35,0.00644833971219,0.00795986961144,0.00179666908055,0.00472951983409,0.00523662512729,0.00299161454353
-1.92,7.21674496,-1.92,6.77116354658,6.49974516459,0.271418381992,-1.92,7.26420954074,nan,nan,4.45,0.00637543556963,0.00859421365125,0.00297203257944,0.00502729572126,0.00555543467978,0.00368110412574
-1.88,6.42318336,-1.88,6.00867095078,6.31260221447,0.303931263688,-1.88,6.09392150646,6.36928184971,0.275360343247,4.55,0.00803199404375,0.00949559765247,0.0017413208772,0.00528965222544,0.0075950013755,0.00432646885153
-1.84,5.69108736,-1.84,5.79351671757,5.15915907007,0.634357647498,-1.84,5.65252410183,5.41136086706,0.241163234768,4.65,0.00934397142634,0.0115172147089,0.00292992309916,0.00550956236185,0.00928166005084,0.00492106028068
-1.8,5.0176,-1.8,4.72739043536,4.9606592706,0.233268835234,-1.8,5.26089778582,5.07730452182,0.183593264001,4.75,0.00799527343804,0.0111635976865,0.00450174137547,0.00568481494105,0.00829967080481,0.00546302160215
-1.76,4.39992576,-1.76,4.55071370751,4.62194389061,0.0712301830936,-1.76,4.53775607406,4.67958542208,0.141829348014,4.85,0.00925373791872,0.00922724263069,0.000968170724063,0.00581609168508,0.00991720370373,0.00595336676441
-1.72,3.83533056,-1.72,3.72132907029,3.88811486464,0.16678579435,-1.72,3.79366623225,3.95684908108,0.163182848829,4.95,0.0116309673324,0.00978538369824,0.00506653982728,0.00590573148758,0.0126461730947,0.00639474654422
-1.68,3.32114176,-1.68,3.25647794816,3.3054690146,0.0489910664357,-1.68,3.36202046251,3.56527366886,0.20325320635,5.05,0.0111848765628,0.0132014534601,0.00271548830691,0.00595694252203,0.0125447870291,0.00679066228263
-1.64,2.85474816,-1.64,2.87909823644,2.86662414086,0.0124740955757,-1.64,2.90142706117,3.05359465459,0.15216759342,5.15,0.0102560777575,0.0115492077802,0.00149212363504,0.00597330650584,0.0119539335745,0.00714497161717
-1.6,2.4336,-1.6,2.38399337017,2.40766185705,0.0236684868836,-1.6,2.50473802901,2.6448696014,0.140131572388,5.25,0.0100277601412,0.00987645787377,0.00122186536024,0.00595847337723,0.0120570619554,0.00746158448569
-1.56,2.05520896,-1.56,2.042230808,2.04711465135,0.00488384335792,-1.56,2.1579125325,2.23934086626,0.0814283337518,5.35,0.012084022761,0.0115838107304,0.00194774209083,0.00591597967117,0.0144385164996,0.00774428270405
-1.52,1.71714816,-1.52,1.67248852756,1.76690145418,0.0944129266227,-1.52,1.82815688267,1.9894191089,0.161262226237,5.45,0.00692105974735,0.00758620014267,0.000362168279566,0.0058491467503,0.00959472299018,0.00799661928747
