lag,normalized_vacf
0,1
1,0.920990611904
2,0.847994023669
3,0.780699872773
4,0.718837943366
5,0.661755497518
6,0.609813618611
7,0.561923257407
8,0.517793761001
9,0.477234268802
10,0.439906713893
11,0.405577408095
12,0.373760831393
13,0.344434082327
14,0.317708091311
15,0.292997091497
16,0.270615478622
17,0.249687944245
18,0.230436193048
19,0.212957567865
20,0.196602256396
21,0.181323891513
22,0.166973352546
23,0.153271065117
24,0.14063569133
25,0.128877477734
26,0.118493509626
27,0.108687479322
28,0.100062123391
29,0.0920921923306
30,0.0849098660479
31,0.0785935764521
32,0.0727496666622
33,0.0672574795826
34,0.0619095493933
35,0.0565378161279
36,0.0516047899411
37,0.0473859069026
38,0.0434423791502
39,0.03965455543
40,0.0362584149745
41,0.0332746957946
42,0.0309419904918
43,0.0292577093775
44,0.0277454481271
45,0.0260883910922
46,0.024369731821
47,0.0224411779692
48,0.0207057032168
49,0.0196903938494
50,0.0187285345527
51,0.0183491366093
52,0.0175624663869
53,0.016626844436
54,0.0157405394674
55,0.0145338261154
56,0.0136504015185
57,0.0128426365084
58,0.0124479992039
59,0.0113722603401
60,0.00993671469363
61,0.00825894367387
62,0.00679801284496
63,0.00515742352322
64,0.00346432493803
65,0.00215075127583
66,0.00113477371208
67,6.73899385316e-06
68,-0.00108010347171
69,-0.00229266393447
70,-0.00380290006931
71,-0.00491689975199
72,-0.00603313975754
73,-0.00723759885318
74,-0.00850964998734
75,-0.00948228152051
76,-0.0101482860898
77,-0.0102742686775
78,-0.0104491129074
79,-0.0106648483175
80,-0.0106539511821
81,-0.0102077229719
82,-0.00940050868727
83,-0.00813724655854
84,-0.00737260047992
85,-0.00652074410659
86,-0.0051907165998
87,-0.00358654482393
88,-0.00227849741917
89,-0.00102398540882
90,5.87831889349e-05
