lag_fs,normalized_vacf,normalized_vacf_replica_std
0,1,0
20,0.799288085075,0.0042099662141
40,0.602916015348,0.00689853766754
60,0.420334018318,0.00790368382105
80,0.256754657846,0.00763245042563
100,0.117244641667,0.00703789827965
120,0.00395448413594,0.00662064723722
140,-0.0810290721887,0.00444837464462
160,-0.141326236455,0.00203674728011
180,-0.178502214305,0.000863042808329
200,-0.198999759106,0.00294990882712
220,-0.204910889002,0.00514105927342
240,-0.200226521989,0.00856973052288
260,-0.187193994606,0.00883650639548
280,-0.170461596555,0.00836292230164
300,-0.151335889398,0.0079641690632
320,-0.131903204684,0.00585693329401
340,-0.112154107057,0.00315901528807
360,-0.0944001193823,0.00138306339382
380,-0.0782213463748,0.00178169877674
400,-0.0660485316748,0.00285440214719
420,-0.0548142168706,0.00273302676591
440,-0.0448043126772,0.00220438038919
460,-0.0383276721614,0.00111622700486
480,-0.0346589182655,0.00110956923218
500,-0.0337095082795,0.000719483186896
520,-0.0340984174146,0.0020177676653
540,-0.0319712880916,0.00390815893876
560,-0.0317170089029,0.00512126043567
580,-0.0318854690351,0.00488473255022
600,-0.0298196334654,0.00668264520893
