radius,argon_trajectory_rdf,argon_trajectory_rdf_replica_std
0.015,0,0
0.045,0,0
0.075,0,0
0.105,0,0
0.135,0,0
0.165,0,0
0.195,0,0
0.225,0,0
0.255,0,0
0.285,0,0
0.315,0,0
0.345,0,0
0.375,0,0
0.405,0,0
0.435,0,0
0.465,0,0
0.495,0,0
0.525,0,0
0.555,0,0
0.585,0,0
0.615,0,0
0.645,0,0
0.675,0,0
0.705,0,0
0.735,0,0
0.765,0,0
0.795,0,0
0.825,0,0
0.855,0,0
0.885,0,0
0.915,0.00100210560825,0.000630477619079
0.945,0.0436865196497,0.0141375340776
0.975,0.315189211197,0.0524127351679
1.005,0.982894094906,0.106017534963
1.035,1.8913771347,0.137051741284
1.065,2.62008396134,0.0867003959374
1.095,3.00023985151,0.0277554858558
1.125,2.94412876701,0.0667084525798
1.155,2.72502085675,0.0869718981296
1.185,2.37190803007,0.122412770243
1.215,2.04373484919,0.0981662522058
1.245,1.69879002875,0.0679191197911
1.275,1.40198672983,0.0638289360075
1.305,1.17187263796,0.0555280119109
1.335,0.977682847336,0.0437913801405
1.365,0.799019189816,0.00677596245792
1.395,0.677769424254,0.00563554080667
1.425,0.590808708327,0.0336771792294
1.455,0.536279418436,0.025148153857
1.485,0.501657189272,0.0297067496879
1.515,0.488886818331,0.0285377977913
1.545,0.494822577418,0.0245041445594
1.575,0.52177191928,0.0221165692948
1.605,0.535671763048,0.022037965037
1.635,0.553074452668,0.0197092337047
1.665,0.579290347855,0.0174819042475
1.695,0.604378870165,0.0197873050273
1.725,0.633378808911,0.0318423069107
1.755,0.671296731048,0.0335930228845
1.785,0.719528868936,0.0401143923167
1.815,0.791357441983,0.0422102640069
1.845,0.889259901674,0.0353335244723
1.875,1.00261790578,0.0117383427654
1.905,1.12602207196,0.00317419296964
1.935,1.24969813558,0.0293586199421
1.965,1.33449765807,0.0358231209194
1.995,1.4161995029,0.0544929830202
2.025,1.44248166558,0.055243950387
2.055,1.45498885196,0.0540460504802
2.085,1.42374653063,0.043247589557
2.115,1.35297576462,0.0252812992297
2.145,1.28813252603,0.00914425621866
2.175,1.21584058211,0.00865782672492
2.205,1.15276035651,0.0120523284674
2.235,1.08408159038,0.0167459816925
2.265,1.02155673975,0.0173272234621
2.295,0.959898073849,0.0236592631774
2.325,0.912702420504,0.0162097309081
2.355,0.891715323719,0.0164700994044
2.385,0.874973560329,0.0103158803804
2.415,0.863818571656,0.00830009545324
2.445,0.858049702294,0.00137356128552
2.475,0.864632689719,0.0108559681757
2.505,0.882188840898,0.00870927343496
2.535,nan,nan
2.565,nan,nan
2.595,nan,nan
2.625,nan,nan
2.655,nan,nan
2.685,nan,nan
2.715,nan,nan
2.745,nan,nan
2.775,nan,nan
2.805,nan,nan
2.835,nan,nan
2.865,nan,nan
2.895,nan,nan
2.925,nan,nan
2.955,nan,nan
2.985,nan,nan
