lag,normalized_vacf,vacf_replica_std
0,1,0
1,0.798835460552,0.00805943234075
2,0.416835031305,0.0176390060244
3,0.0669320980027,0.0116475593844
4,-0.152134348742,0.00798299477876
5,-0.241419369955,0.0291868567465
6,-0.244307419957,0.0414238221676
7,-0.208563457693,0.0423608388278
8,-0.167925290546,0.0358276498553
9,-0.136196897963,0.0268848695061
10,-0.115622314295,0.0197422789609
11,-0.100993006079,0.015744025607
12,-0.0885437462405,0.0140377500824
13,-0.0767325488572,0.0137118528721
14,-0.065169131822,0.013287372999
15,-0.0527287786161,0.0108777409812
16,-0.0389726103395,0.00712807589873
17,-0.0251497874639,0.00606351527809
18,-0.013604191694,0.00771392688004
19,-0.00587483127169,0.00877935591412
20,-0.00207174111635,0.00914197883653
21,-0.0018256715336,0.00867858419428
22,-0.00413469791159,0.00796076452348
23,-0.00685775716023,0.00758140988826
24,-0.00879523449659,0.00752324203303
25,-0.00879201542119,0.00753202357983
26,-0.0063368787457,0.00684775060085
27,-0.00246672326935,0.00608669199015
28,0.000435210068183,0.00513583767134
29,0.000850864982345,0.00320732149357
30,-0.000915302799389,0.0018292583788
31,-0.00351105599951,0.00347593621636
32,-0.0057155076377,0.00515127591713
33,-0.00610801919352,0.00584350396706
34,-0.00515395618782,0.00534570298827
35,-0.0024534582691,0.00388377423187
36,0.00203893594415,0.00270441951862
37,0.00733584128132,0.0024625178968
38,0.0116658892361,0.00335270166848
39,0.0134407479974,0.00515094703432
40,0.0121137447525,0.00671493186807
41,0.00885991675556,0.00776202745682
42,0.00422246541208,0.0073798590798
43,-0.000148449949581,0.0057599158666
44,-0.00234786063833,0.00513995183415
45,-0.00381290452367,0.00613855003918
46,-0.00626489977958,0.00685714963567
47,-0.00948519225629,0.00762067362166
48,-0.0119071591811,0.00867927901875
49,-0.0127378279106,0.00952440991418
50,-0.0112694517884,0.00967028989723
51,-0.00768046181408,0.00836214352589
52,-0.00291751855421,0.00567469349112
53,0.000332130447657,0.00311734551273
54,0.000718028699414,0.00148896105152
55,-0.0018130809386,0.00169940143212
56,-0.00499950788708,0.00380472548863
57,-0.00657727535346,0.00461066911556
58,-0.00592729099856,0.00330101551027
59,-0.00283394451133,0.000165668748387
60,0.00169660877724,0.00388649189719
61,0.00520857658136,0.0063168090223
62,0.00617162575894,0.0069018366927
63,0.0062871683203,0.00651561395927
64,0.00639035835232,0.00516631250986
65,0.00646733566796,0.00352792815523
66,0.00667283850881,0.00271224305883
67,0.00644399287404,0.00236501860818
68,0.00565632785134,0.00215600832747
69,0.00491457446539,0.00205748140178
70,0.00333841449224,0.00201083901578
71,0.00131360776144,0.00228333706459
72,0.000457157944209,0.00293275116027
73,0.00168732151912,0.00384922325312
74,0.00382170265994,0.005206975182
75,0.00416809260196,0.00514463075766
76,0.00242861184413,0.00286395648458
77,0.000528002561745,0.00150307824695
78,0.00033056672145,0.00321620637982
79,0.00132157806015,0.00386135206139
80,0.00219062137403,0.00316371869504
81,0.00247875671367,0.00260715328447
82,0.00171526291384,0.00279265395664
83,-0.000684794203024,0.00346986483662
84,-0.00344145928454,0.00330764490726
85,-0.00473027111189,0.00200787706881
86,-0.00540107692717,0.00148355053062
87,-0.00643523478223,0.00254924201012
88,-0.00597639906492,0.00300053399287
89,-0.00379243285707,0.00260114484297
90,-0.000897245305392,0.00254997885305
91,0.000369929212703,0.00321692836484
92,-0.000553030737717,0.00262892422248
93,-0.00269769478365,0.001736007226
94,-0.00420317885052,0.00354770412845
95,-0.00408348190947,0.00485680976366
96,-0.00229482646877,0.00407626694036
97,0.0007508483578,0.00120424179908
98,0.00413015508125,0.00188270671128
99,0.00664336981456,0.00374777378165
100,0.00748000762108,0.00451904502026
101,0.00578317648312,0.00402911290354
102,0.00215753453876,0.00181201920312
103,-0.00189356799679,0.0021008379076
104,-0.00410970822187,0.00455056993404
105,-0.0043082042478,0.00402772451187
106,-0.00331846699594,0.000732017295224
107,-0.00196145212008,0.00292129482304
108,-0.0010212962464,0.00430397132439
109,-0.0015399072411,0.0026927097563
110,-0.00285402507309,0.0026723989778
111,-0.00400186510602,0.00449385465578
112,-0.00365981961267,0.00394627233668
113,-0.00217668691608,0.00171409608593
114,0.000129747015582,0.00220602799974
115,0.00365149297225,0.00564574893475
116,0.00661564063597,0.00762210461971
117,0.00756839831195,0.00706215155816
118,0.00678586007831,0.00429454825366
119,0.0043105902593,0.000386839749307
120,0.00135555658533,0.00462307334442
