step,replica_0_potential_energy_per_atom,replica_1_potential_energy_per_atom,replica_2_potential_energy_per_atom,replica_3_potential_energy_per_atom,replica_4_potential_energy_per_atom,replica_0_coordination_number,replica_1_coordination_number,replica_2_coordination_number,replica_3_coordination_number,replica_4_coordination_number
1780,-5.36490908107,-5.57447928793,-5.46316441042,-5.44095494835,-5.419667282,12.0925925926,12.3333333333,12.2962962963,12.0740740741,12.2407407407
1800,-5.31568183793,-5.50360328176,-5.45406895414,-5.59777006695,-5.41325957656,12.1851851852,12.3333333333,12.3703703704,12.1481481481,12.1481481481
1820,-5.20986627227,-5.50953219615,-5.5624316586,-5.59489058857,-5.38631833177,12.1296296296,12.4814814815,12.3518518519,12.1851851852,12.037037037
1840,-5.32632871711,-5.61219308558,-5.43990476849,-5.59149126485,-5.4633983256,11.9444444444,12.4814814815,12.2407407407,12.3148148148,12.1481481481
1860,-5.28059452936,-5.54888130312,-5.42904924845,-5.54880467654,-5.45969294916,12.037037037,12.4814814815,12.3518518519,12.3703703704,12.0555555556
1880,-5.30801775134,-5.55732094636,-5.50253888992,-5.47788160852,-5.52287355806,12.2037037037,12.5,12.3333333333,12.4259259259,12.0740740741
1900,-5.26959452712,-5.58685615337,-5.52880254237,-5.44253481755,-5.44395544236,12.2037037037,12.3333333333,12.3703703704,12.4259259259,12.1481481481
1920,-5.34408212005,-5.57624180202,-5.51449474541,-5.57234976731,-5.44353326413,12.2592592593,12.5,12.4814814815,12.3888888889,12.037037037
1940,-5.48124946478,-5.55851651263,-5.58451479829,-5.53227533618,-5.48556148793,12.2777777778,12.3888888889,12.5,12.3888888889,12.1111111111
1960,-5.28018381374,-5.67508553268,-5.53919723764,-5.5102740588,-5.55162728813,12.2037037037,12.3148148148,12.4259259259,12.3888888889,12.1666666667
1980,-5.19349113485,-5.57631204593,-5.5086149588,-5.53964308899,-5.55314602395,12.0925925926,12.2962962963,12.462962963,12.4259259259,12.2222222222
2000,-5.28549094113,-5.45772172969,-5.56502971595,-5.45809714432,-5.50781762876,11.9444444444,12.462962963,12.3518518519,12.3333333333,12.1296296296
2020,-5.31367602366,-5.48121523542,-5.60685851555,-5.5181517742,-5.45957322378,11.9444444444,12.4259259259,12.537037037,12.3333333333,12.1666666667
2040,-5.33932712471,-5.50248560787,-5.59081896056,-5.60015505164,-5.41206118347,12.0740740741,12.2407407407,12.4259259259,12.3888888889,12.2407407407
2060,-5.41828058528,-5.47942933765,-5.54008534837,-5.59937831472,-5.52346943478,12.1666666667,12.1851851852,12.4814814815,12.2962962963,12.2407407407
2080,-5.40087576597,-5.47196969494,-5.44713558773,-5.59467260606,-5.51872567018,12.1666666667,12.1111111111,12.4444444444,12.2592592593,12.2037037037
2100,-5.34338106859,-5.45805441049,-5.57436335281,-5.55631966286,-5.4419190961,12.0555555556,12.2037037037,12.4444444444,12.3703703704,12.1851851852
2120,-5.35292963057,-5.47637696722,-5.62260589228,-5.50572449235,-5.45383505801,12.0555555556,12.3518518519,12.3888888889,12.4259259259,12.1666666667
2140,-5.326409386,-5.47532687688,-5.64568627726,-5.45276970901,-5.53043842076,12.0555555556,12.2037037037,12.3333333333,12.3703703704,12.3333333333
2160,-5.40076520012,-5.4939652427,-5.60218256605,-5.44173198483,-5.56746273984,12.0555555556,12.4074074074,12.3888888889,12.3703703704,12.3148148148
2180,-5.33919800864,-5.42783057789,-5.57343558332,-5.52763160281,-5.48331605639,12.2777777778,12.4074074074,12.4074074074,12.4074074074,12.4444444444
2200,-5.35213758367,-5.36905901946,-5.52649287989,-5.52752347116,-5.56012504559,12.3888888889,12.3148148148,12.3703703704,12.4814814815,12.3888888889
2220,-5.35617732923,-5.44022544576,-5.47231955566,-5.55991862668,-5.56032830646,12.3148148148,12.2592592593,12.2962962963,12.4814814815,12.4814814815
2240,-5.33637212397,-5.33452623445,-5.42623799859,-5.52935590484,-5.50307738687,12.1851851852,12.2592592593,12.4074074074,12.2777777778,12.3888888889
2260,-5.38183725044,-5.43367686592,-5.46477751322,-5.48624961254,-5.46750546203,12.0555555556,12.3333333333,12.4259259259,12.3148148148,12.3888888889
2280,-5.31454381249,-5.41381586264,-5.46192003324,-5.52739562556,-5.5058543981,12,12.3703703704,12.2592592593,12.3518518519,12.4074074074
2300,-5.22632724729,-5.2992364996,-5.48412097217,-5.59421874855,-5.51786178882,12.0185185185,12.3148148148,12.2037037037,12.2407407407,12.4814814815
2320,-5.30314739884,-5.33233068228,-5.51467849547,-5.49433301425,-5.41260538989,11.9814814815,12.3333333333,12.2592592593,12.3148148148,12.5555555556
2340,-5.3927736727,-5.40756198969,-5.56748984463,-5.41484655226,-5.338702973,12.1296296296,12.3518518519,12.2222222222,12.3148148148,12.3518518519
2360,-5.36957719773,-5.39144038492,-5.58125234273,-5.42518770334,-5.37486321333,12.1666666667,12.2962962963,12.2407407407,12.2037037037,12.2777777778
2380,-5.41632992705,-5.26720570562,-5.55698496799,-5.42998080791,-5.48585340574,12.1851851852,12.3333333333,12.2407407407,12.2777777778,12.2962962963
2400,-5.42237938334,-5.41839716533,-5.5608152822,-5.53793583349,-5.38907585668,12,12.3888888889,12.4259259259,12.462962963,12.4444444444
2420,-5.38489773812,-5.43195317017,-5.50012739799,-5.6279752959,-5.50082646239,12.0185185185,12.3148148148,12.462962963,12.462962963,12.3888888889
2440,-5.36130107697,-5.31953761675,-5.4399692116,-5.56813942755,-5.49777340053,11.962962963,12.2962962963,12.462962963,12.5555555556,12.3333333333
2460,-5.35521527028,-5.42506325565,-5.51579916495,-5.43105549679,-5.44294651761,11.9444444444,12.3518518519,12.4444444444,12.5925925926,12.2962962963
2480,-5.32869411259,-5.42575660415,-5.51079355252,-5.47020281902,-5.53119663502,12.0555555556,12.4444444444,12.3333333333,12.5,12.3888888889
2500,-5.27405469088,-5.41011986738,-5.63155984298,-5.45923573245,-5.61456409646,12.037037037,12.462962963,12.4074074074,12.4444444444,12.3333333333
2520,-5.27531654937,-5.39074961629,-5.70478582904,-5.41674619368,-5.61353959899,12.0185185185,12.4814814815,12.3703703704,12.462962963,12.4259259259
2540,-5.30153289182,-5.41890346722,-5.69130893897,-5.44821223157,-5.51793646516,12.0555555556,12.3888888889,12.462962963,12.3518518519,12.3888888889
2560,-5.35841394687,-5.40417293915,-5.61626395477,-5.50332099257,-5.59291026974,12,12.3518518519,12.462962963,12.3333333333,12.2777777778
2580,-5.26358862896,-5.37326888921,-5.57036554845,-5.45129432,-5.58603090542,11.962962963,12.3333333333,12.4074074074,12.3333333333,12.3333333333
2600,-5.2360712218,-5.37061695936,-5.56248334353,-5.41666602193,-5.51736975004,12.037037037,12.2222222222,12.3333333333,12.1296296296,12.3888888889
2620,-5.31851943345,-5.2528744096,-5.54793843109,-5.43730526057,-5.55286367108,12.1111111111,12.2407407407,12.1851851852,12.1851851852,12.3518518519
2640,-5.2830689963,-5.31585470496,-5.44863727674,-5.46752153415,-5.49478814025,12.037037037,12.537037037,12.1481481481,12.2037037037,12.2962962963
2660,-5.34640772321,-5.36162424435,-5.40769181226,-5.41501260441,-5.53629993263,12.0555555556,12.4259259259,12.2407407407,12.3148148148,12.4259259259
2680,-5.2395046228,-5.34920389531,-5.51681586575,-5.3732844309,-5.60825790443,12,12.3888888889,12.3518518519,12.3148148148,12.3703703704
2700,-5.24394271833,-5.25207079215,-5.48578780879,-5.4207680342,-5.60646218005,11.9259259259,12.3703703704,12.4074074074,12.1296296296,12.2592592593
2720,-5.28565573782,-5.19190399237,-5.49586203559,-5.46938992646,-5.51946625549,11.8703703704,12.2222222222,12.3333333333,12.3148148148,12.2962962963
2740,-5.21242392049,-5.33862645229,-5.53003631767,-5.48963938934,-5.51779601655,12.1296296296,12.2592592593,12.2777777778,12.4444444444,12.3703703704
2760,-5.18790852116,-5.25144063878,-5.51220696256,-5.55794206027,-5.53602720804,12.1666666667,12.0925925926,12.3703703704,12.4259259259,12.3148148148
2780,-5.22151401967,-5.30660576389,-5.57172358549,-5.50588129478,-5.53516754749,12.1296296296,12.0740740741,12.3703703704,12.2962962963,12.2592592593
2800,-5.21719693349,-5.30887171202,-5.52881941715,-5.45338884599,-5.51416140282,12.0925925926,12.2407407407,12.5,12.4074074074,12.2962962963
2820,-5.18748876166,-5.32542093383,-5.46134135835,-5.40988234015,-5.58071309054,12.2407407407,12.2592592593,12.3518518519,12.2962962963,12.3518518519
2840,-5.19501428179,-5.36636760708,-5.43756390283,-5.42275515032,-5.68619713763,12.1481481481,12.3333333333,12.3703703704,12.4074074074,12.3148148148
2860,-5.24258086584,-5.31680626012,-5.43526674972,-5.40115060789,-5.67648510658,12.0740740741,12.1851851852,12.2962962963,12.3518518519,12.3148148148
2880,-5.19140820923,-5.37230134115,-5.54386449836,-5.40294262366,-5.61700257874,11.8888888889,12.1111111111,12.4074074074,12.5185185185,12.5
2900,-5.12305225342,-5.38389538387,-5.50156375053,-5.51411989641,-5.55838723751,11.9074074074,12.2037037037,12.4074074074,12.4074074074,12.5185185185
2920,-5.20304623729,-5.36644039444,-5.41829364234,-5.4526431383,-5.50468900706,12.0185185185,12.0925925926,12.4259259259,12.3333333333,12.537037037
2940,-5.1596472752,-5.331230165,-5.42260685836,-5.45368353828,-5.57680994698,11.7777777778,12.2222222222,12.3703703704,12.3518518519,12.5925925926
2960,-5.1577146453,-5.38830827913,-5.52330509815,-5.51379013017,-5.55596052558,11.7962962963,12.2222222222,12.2407407407,12.3148148148,12.4814814815
2980,-5.24926239369,-5.47656840915,-5.403760457,-5.56116747817,-5.56025624856,11.9074074074,12.3518518519,12.3703703704,12.4074074074,12.3703703704
3000,-5.22627711788,-5.52124684747,-5.46845441079,-5.5232457199,-5.60425951963,11.9444444444,12.4074074074,12.2777777778,12.5185185185,12.3888888889
3020,-5.18682344038,-5.49052067604,-5.55635906129,-5.5383063853,-5.59674036401,11.8888888889,12.3518518519,12.3888888889,12.5740740741,12.1851851852
3040,-5.23702908461,-5.47812921548,-5.55014705012,-5.64574181513,-5.55565685929,12,12.2407407407,12.2592592593,12.5,12.3703703704
3060,-5.1128856595,-5.47340585042,-5.43121427778,-5.5231482523,-5.54548401468,11.8518518519,12.3148148148,12.3148148148,12.3703703704,12.2777777778
3080,-5.15641099089,-5.37198609724,-5.43776067827,-5.51607755095,-5.45112352344,11.8518518519,12.2962962963,12.3148148148,12.4444444444,12.3333333333
3100,-5.19345569794,-5.41854784854,-5.5740287526,-5.60013559112,-5.57565160052,11.9444444444,12.3703703704,12.462962963,12.4074074074,12.2037037037
3120,-5.20738684509,-5.38667904457,-5.53025037694,-5.64989031229,-5.59991410245,11.9074074074,12.3888888889,12.3888888889,12.4074074074,12.3888888889
3140,-5.31150798909,-5.4268934852,-5.53654364257,-5.59271321323,-5.50436131967,11.9444444444,12.3148148148,12.3518518519,12.3333333333,12.4074074074
3160,-5.25247300082,-5.398375771,-5.50435657218,-5.54123890375,-5.514992381,11.9074074074,12.3148148148,12.3148148148,12.3888888889,12.4259259259
3180,-5.19509525746,-5.41501747673,-5.41721469153,-5.56980389831,-5.5368880363,11.9444444444,12.2407407407,12.3703703704,12.2962962963,12.3703703704
3200,-5.31542172149,-5.48861991539,-5.42386942309,-5.56792071289,-5.54254612121,11.9814814815,12.3703703704,12.462962963,12.2222222222,12.5
3220,-5.22295152886,-5.46579633504,-5.45531147091,-5.45012601881,-5.6148146832,12,12.4074074074,12.4444444444,12.3703703704,12.462962963
3240,-5.19896546339,-5.40740514449,-5.4937955825,-5.53990189266,-5.59129781924,12,12.4814814815,12.5740740741,12.3703703704,12.4444444444
3260,-5.25050791605,-5.47290500798,-5.47058494995,-5.60476029287,-5.60191839418,11.8888888889,12.5555555556,12.4259259259,12.2407407407,12.3703703704
3280,-5.1906876477,-5.48081058567,-5.528862655,-5.52624840421,-5.71174037825,11.7962962963,12.5555555556,12.4444444444,12.2407407407,12.3333333333
3300,-5.17902068768,-5.49061295227,-5.535434202,-5.49319670839,-5.7139094942,11.7407407407,12.5185185185,12.6666666667,12.3148148148,12.4259259259
3320,-5.24848950424,-5.51112456488,-5.50528454541,-5.51956715877,-5.6364457539,11.7592592593,12.5185185185,12.6851851852,12.2037037037,12.4444444444
3340,-5.26493584006,-5.47841788901,-5.47916566542,-5.52148643157,-5.50618098261,11.8703703704,12.5,12.6666666667,12.1296296296,12.3518518519
3360,-5.24173467067,-5.5006821004,-5.3581242109,-5.5505614039,-5.59246572227,12.0185185185,12.537037037,12.462962963,12.2592592593,12.4444444444
3380,-5.27673377386,-5.55522092575,-5.34576874507,-5.5487795646,-5.62807105638,12,12.5555555556,12.5,12.2407407407,12.3703703704
3400,-5.37008313432,-5.54394654386,-5.51947314166,-5.51387258787,-5.54842816999,11.962962963,12.537037037,12.4259259259,12.3333333333,12.3518518519
3420,-5.3780703927,-5.51668916723,-5.44467317525,-5.5376734305,-5.56803855187,12.1851851852,12.537037037,12.5,12.2962962963,12.3518518519
3440,-5.32349155292,-5.52482203616,-5.48838963089,-5.49058907838,-5.67729708744,12.2407407407,12.5185185185,12.4074074074,12.2037037037,12.4444444444
3460,-5.35124661585,-5.54472116815,-5.52207876161,-5.58886761287,-5.6325229525,12.1666666667,12.462962963,12.4444444444,12.2777777778,12.3888888889
3480,-5.34166590792,-5.5373928871,-5.35601591341,-5.6216213781,-5.60422281879,12.1481481481,12.2777777778,12.2962962963,12.2407407407,12.4814814815
3500,-5.30666740033,-5.58259330393,-5.35193788482,-5.61828089437,-5.63342646444,12.1481481481,12.2222222222,12.2777777778,12.3518518519,12.4259259259
3520,-5.33817631514,-5.58476193779,-5.46685820822,-5.58565687145,-5.6492647987,12.0740740741,12.3888888889,12.1481481481,12.3148148148,12.3888888889
3540,-5.33219415464,-5.50731970919,-5.46241455252,-5.63122088071,-5.62017077638,12.0740740741,12.3148148148,12.1851851852,12.2962962963,12.3888888889
3560,-5.44197641083,-5.54220094014,-5.37611767828,-5.57931194213,-5.50747701204,12.0925925926,12.3518518519,12.1851851852,12.1851851852,12.4444444444
3580,-5.38568977181,-5.61685473299,-5.4749177478,-5.60978247919,-5.64601382919,12.2037037037,12.3148148148,12.2962962963,12.3148148148,12.4074074074
3600,-5.28826442233,-5.59755215112,-5.53631644367,-5.59304190798,-5.68194284663,12.1666666667,12.2037037037,12.2407407407,12.3148148148,12.4814814815
3620,-5.32492129476,-5.65551472367,-5.45757811217,-5.61985697861,-5.6886017912,12.1111111111,12.2407407407,12.2222222222,12.2777777778,12.4444444444
3640,-5.2723596705,-5.61332571445,-5.56672436753,-5.6019787239,-5.61538151753,12.0925925926,12.2962962963,12.1666666667,12.2592592593,12.4074074074
3660,-5.32644030768,-5.59583151914,-5.59369886976,-5.5895273326,-5.52536318014,12.2592592593,12.4074074074,12.3333333333,12.3703703704,12.462962963
3680,-5.35011792588,-5.67741074547,-5.55424273242,-5.56106675908,-5.59485269022,12.2037037037,12.3333333333,12.3148148148,12.4074074074,12.3703703704
3700,-5.37253510823,-5.62440714028,-5.56174703414,-5.57451654571,-5.60055264601,12.3333333333,12.3333333333,12.3148148148,12.3703703704,12.3148148148
3720,-5.3748054003,-5.58177273012,-5.53634819275,-5.60579297293,-5.5141337452,12.2777777778,12.4444444444,12.4814814815,12.3703703704,12.2962962963
3740,-5.32252657287,-5.57052240918,-5.50957249366,-5.62231453898,-5.45575815683,12.2962962963,12.3333333333,12.462962963,12.3888888889,12.5
3760,-5.41436692775,-5.61607567224,-5.54732962079,-5.62410174646,-5.54426249451,12.2407407407,12.462962963,12.5,12.4259259259,12.4814814815
3780,-5.42963724392,-5.62657696564,-5.63390202502,-5.53303546353,-5.49721059226,12.2222222222,12.3148148148,12.3333333333,12.3148148148,12.4074074074
3800,-5.347527774,-5.51208585387,-5.58310895152,-5.53484000321,-5.4633672312,12.1666666667,12.3703703704,12.5,12.3703703704,12.2962962963
3820,-5.32446544601,-5.5644765807,-5.52593703315,-5.55220729286,-5.44979397883,12.2222222222,12.2962962963,12.2592592593,12.3703703704,12.2222222222
3840,-5.35231306708,-5.64188789033,-5.52101283248,-5.59930067898,-5.53620904704,12.2962962963,12.3518518519,12.3148148148,12.4814814815,12.2407407407
3860,-5.36076513131,-5.62797215137,-5.52989639634,-5.63094486922,-5.51654580038,12.3148148148,12.3518518519,12.2962962963,12.462962963,12.2592592593
3880,-5.33295133455,-5.54206236252,-5.54483913858,-5.60174473573,-5.44940598508,12.3518518519,12.462962963,12.3703703704,12.4444444444,12.2777777778
3900,-5.3235138875,-5.48436715368,-5.63241808553,-5.55373243881,-5.46926533044,12.2592592593,12.5555555556,12.4814814815,12.2777777778,12.2407407407
3920,-5.36682058079,-5.53761513584,-5.56640733891,-5.55625933541,-5.53593937356,12.0555555556,12.3518518519,12.5,12.2222222222,12.3333333333
3940,-5.40289986773,-5.55768825571,-5.51812881925,-5.59808299106,-5.42595921479,12,12.3333333333,12.6296296296,12.3148148148,12.2407407407
3960,-5.30359177752,-5.56299660186,-5.56850099089,-5.57462925281,-5.41582968174,12.0185185185,12.3888888889,12.5740740741,12.3148148148,12.3703703704
3980,-5.34504888547,-5.5136287667,-5.5892248069,-5.61955733679,-5.58341988185,12.1666666667,12.2962962963,12.6481481481,12.3518518519,12.3148148148
4000,-5.34828380844,-5.51557158324,-5.54342091804,-5.63329645472,-5.46667885034,12.1481481481,12.2037037037,12.6111111111,12.4259259259,12.2777777778
4020,-5.32235840742,-5.45269605838,-5.52524567619,-5.70702053722,-5.4504761363,12,12.1851851852,12.462962963,12.4074074074,12.2962962963
4040,-5.28985216792,-5.47670980861,-5.45640271446,-5.66834941174,-5.46508153083,12.037037037,12.2222222222,12.5,12.4259259259,12.462962963
4060,-5.23461471383,-5.57763641948,-5.52973705404,-5.64966220093,-5.42214097902,12.0740740741,12.3518518519,12.3888888889,12.3518518519,12.462962963
4080,-5.28219636764,-5.58404543339,-5.49969972657,-5.77085255464,-5.44173743916,11.9444444444,12.3333333333,12.4074074074,12.4444444444,12.3148148148
4100,-5.27154698599,-5.49843860445,-5.57756020562,-5.67478382278,-5.48340224405,12.1111111111,12.2777777778,12.3518518519,12.4444444444,12.3888888889
4120,-5.25873485897,-5.44005814799,-5.65323175354,-5.58428965928,-5.47529599786,12.0555555556,12.4259259259,12.3888888889,12.3518518519,12.3703703704
4140,-5.30836081884,-5.46715978643,-5.65336841482,-5.55679853365,-5.51679113584,11.8703703704,12.2777777778,12.3888888889,12.2962962963,12.2592592593
4160,-5.35582156776,-5.5312554502,-5.52460959644,-5.51654079151,-5.50051129837,11.8888888889,12.2037037037,12.5185185185,12.3888888889,12.2222222222
4180,-5.26810238733,-5.50945102424,-5.55952846198,-5.56796955195,-5.38624427122,11.9814814815,12.2037037037,12.4259259259,12.3888888889,12.2222222222
4200,-5.31677441503,-5.43117940851,-5.61361814571,-5.6099553972,-5.45514623851,11.9074074074,12.1481481481,12.4074074074,12.2592592593,12.3333333333
4220,-5.32815596808,-5.49347464808,-5.6646710967,-5.61906952684,-5.4128332781,12.0740740741,12.3518518519,12.3888888889,12.2222222222,12.3518518519
4240,-5.30994250775,-5.56807104748,-5.67256215362,-5.67042020695,-5.42470199612,12.0925925926,12.2407407407,12.3148148148,12.2222222222,12.3148148148
4260,-5.3547285606,-5.50629537873,-5.62707951057,-5.6233579164,-5.3840984253,11.8703703704,12.2592592593,12.3703703704,12.3333333333,12.462962963
4280,-5.30410080389,-5.54307418507,-5.63638718947,-5.57266250543,-5.44341207568,12,12.2037037037,12.3888888889,12.4074074074,12.3888888889
4300,-5.20545357289,-5.57972505434,-5.67824475816,-5.5735607223,-5.47385536522,12.0555555556,12.1851851852,12.3888888889,12.3518518519,12.3518518519
4320,-5.24041594614,-5.55280720223,-5.63735550749,-5.54412583958,-5.52788914751,12.1666666667,12.2592592593,12.3703703704,12.4444444444,12.3703703704
4340,-5.22554683291,-5.52812898111,-5.59065141092,-5.567273737,-5.53658485025,12.1666666667,12.3148148148,12.4074074074,12.3333333333,12.4444444444
4360,-5.28355761659,-5.49971189384,-5.70310139872,-5.61049213051,-5.46723630863,12.0185185185,12.3518518519,12.5,12.3148148148,12.3888888889
4380,-5.30279227176,-5.53670481232,-5.64052635805,-5.57371426735,-5.49443665689,11.962962963,12.2222222222,12.4074074074,12.2962962963,12.3333333333
4400,-5.27402535206,-5.54264964215,-5.49512779179,-5.6058844295,-5.558175359,11.962962963,12.3888888889,12.3518518519,12.1666666667,12.4074074074
4420,-5.31133928077,-5.54154138949,-5.4919761658,-5.6110463477,-5.53205392241,12.037037037,12.3333333333,12.3333333333,12.2222222222,12.537037037
4440,-5.31811542927,-5.59188481047,-5.55914322977,-5.58906453999,-5.52093614138,12.0925925926,12.2777777778,12.3888888889,12.2222222222,12.5925925926
4460,-5.10580912072,-5.54487875379,-5.50859327458,-5.6266639638,-5.53917392572,11.9814814815,12.2592592593,12.4814814815,12.2222222222,12.5555555556
4480,-5.2264295365,-5.53006332104,-5.51768059385,-5.629313456,-5.60360936193,12.0185185185,12.3703703704,12.5185185185,12.2407407407,12.3703703704
4500,-5.26868205273,-5.55451339741,-5.4718120045,-5.6328835364,-5.49648443399,11.9259259259,12.2962962963,12.4444444444,12.2962962963,12.4444444444
