case,time_fs,potential_energy_ev_per_atom,coordination_number
replica_1,980,-0.0689391568303,13.5625
replica_1,1000,-0.0688762962818,13.546875
replica_1,1020,-0.0689518451691,13.5625
replica_1,1040,-0.0689926445484,13.515625
replica_1,1060,-0.068898178637,13.5625
replica_1,1080,-0.0686811059713,13.4609375
replica_1,1100,-0.0686056017876,13.4765625
replica_1,1120,-0.0688711702824,13.46875
replica_1,1140,-0.0690914615989,13.453125
replica_1,1160,-0.0693299844861,13.4296875
replica_1,1180,-0.0696000158787,13.4921875
replica_1,1200,-0.0698496028781,13.515625
replica_1,1220,-0.0701265856624,13.46875
replica_1,1240,-0.0703404322267,13.5
replica_1,1260,-0.0705627351999,13.5390625
replica_1,1280,-0.0705212503672,13.5703125
replica_1,1300,-0.0704290941358,13.5234375
replica_1,1320,-0.0704160258174,13.5078125
replica_1,1340,-0.0705359205604,13.4765625
replica_1,1360,-0.0707100853324,13.4609375
replica_1,1380,-0.0707362145185,13.515625
replica_1,1400,-0.0705453455448,13.5390625
replica_1,1420,-0.0701091438532,13.5078125
replica_1,1440,-0.0695826783776,13.5234375
replica_1,1460,-0.0691938102245,13.53125
replica_1,1480,-0.0689637362957,13.53125
replica_1,1500,-0.0688550844789,13.578125
replica_1,1520,-0.0689945444465,13.515625
replica_1,1540,-0.0693260133266,13.5859375
replica_1,1560,-0.0696216523647,13.625
replica_1,1580,-0.0697852522135,13.6484375
replica_1,1600,-0.0699933469296,13.7109375
replica_2,20,-0.0700176283717,13.4921875
replica_2,40,-0.0696353390813,13.5546875
replica_2,60,-0.0692420378327,13.546875
replica_2,80,-0.0690787434578,13.609375
replica_2,100,-0.0689747035503,13.546875
replica_2,120,-0.0687956437469,13.5546875
replica_2,140,-0.0687661617994,13.59375
replica_2,160,-0.0688910111785,13.53125
replica_2,180,-0.0692845508456,13.5859375
replica_2,200,-0.0696819573641,13.53125
replica_2,220,-0.0701512098312,13.59375
replica_2,240,-0.0702695474029,13.609375
replica_2,260,-0.070255830884,13.5703125
replica_2,280,-0.0700789988041,13.5
replica_2,300,-0.0700796097517,13.53125
replica_2,320,-0.0701746270061,13.484375
replica_2,340,-0.0703023821115,13.5
replica_2,360,-0.070377767086,13.515625
replica_2,380,-0.070509724319,13.4765625
replica_2,400,-0.0706063061953,13.5078125
replica_2,420,-0.0706567317247,13.484375
replica_2,440,-0.0705410838127,13.4296875
replica_2,460,-0.0702844336629,13.46875
replica_2,480,-0.0701700821519,13.515625
replica_2,500,-0.0700437501073,13.59375
replica_2,520,-0.0700083374977,13.625
replica_2,540,-0.0699611976743,13.609375
replica_2,560,-0.0699231773615,13.6015625
replica_2,580,-0.069896236062,13.6328125
replica_2,600,-0.0698233395815,13.6328125
replica_2,620,-0.0698390603065,13.6328125
replica_2,640,-0.0699186474085,13.6171875
replica_2,660,-0.0698922947049,13.578125
replica_2,680,-0.069469191134,13.6015625
replica_2,700,-0.0690223127604,13.625
replica_2,720,-0.0687000006437,13.609375
replica_2,740,-0.0685901865363,13.5703125
replica_2,760,-0.0689296498895,13.6328125
replica_2,780,-0.0692726150155,13.59375
replica_2,800,-0.0693828761578,13.5703125
replica_2,820,-0.0695663318038,13.4921875
replica_2,840,-0.0698688477278,13.4296875
replica_2,860,-0.0700697600842,13.375
replica_2,880,-0.0701492279768,13.4296875
replica_2,900,-0.0701254978776,13.4140625
replica_2,920,-0.0699011832476,13.4921875
replica_2,940,-0.0697408542037,13.46875
replica_2,960,-0.0696979537606,13.5
replica_2,980,-0.0697857141495,13.453125
replica_2,1000,-0.0697573050857,13.5078125
replica_2,1020,-0.0699235796928,13.5234375
replica_2,1040,-0.0699657350779,13.53125
replica_2,1060,-0.0698688104749,13.59375
replica_2,1080,-0.0697909593582,13.5546875
replica_2,1100,-0.0696852505207,13.5703125
replica_2,1120,-0.0697318241,13.5546875
replica_2,1140,-0.0695808082819,13.46875
replica_2,1160,-0.0694837421179,13.53125
replica_2,1180,-0.069467894733,13.5
replica_2,1200,-0.0693937018514,13.46875
replica_2,1220,-0.0694272816181,13.4765625
replica_2,1240,-0.0693311169744,13.5390625
replica_2,1260,-0.0693148970604,13.5703125
replica_2,1280,-0.0693466663361,13.6796875
replica_2,1300,-0.0694576501846,13.7421875
replica_2,1320,-0.0698179528117,13.625
replica_2,1340,-0.0702062994242,13.6171875
replica_2,1360,-0.0704239904881,13.625
replica_2,1380,-0.0702908113599,13.625
replica_2,1400,-0.0701360478997,13.5625
replica_2,1420,-0.0699282959104,13.5546875
replica_2,1440,-0.0698433145881,13.515625
replica_2,1460,-0.069973193109,13.5078125
replica_2,1480,-0.0701885893941,13.5078125
replica_2,1500,-0.0703115165234,13.484375
replica_2,1520,-0.0703267529607,13.578125
replica_2,1540,-0.0702695474029,13.5625
replica_2,1560,-0.0700078904629,13.5625
replica_2,1580,-0.0697388425469,13.5546875
replica_2,1600,-0.0694607645273,13.53125
