time,weak_langevin_position,weak_langevin_velocity,moderate_langevin_position,moderate_langevin_velocity,strong_langevin_position,strong_langevin_velocity
100,0.640380870309,1.11398084952,0.990526494347,0.0748442883851,0.458283793703,1.53824743744
101,1.53430366592,0.373777421361,1.21212741111,-1.12865197233,1.00168598699,-0.355380505432
102,1.32419174361,-0.651015152513,0.385637007897,-1.13481781608,1.11403217095,0.738763908015
103,0.229426397461,-1.17986956345,-0.218201837277,-0.199495896816,1.03823246271,-0.739737996774
104,-0.643657271127,-0.410138703837,-0.0546716270449,-0.0242933154246,0.749686481213,-1.55474232406
105,-0.51291299076,0.343931687685,-0.858668748587,-0.682237784155,0.247128043294,-0.808020421492
106,-0.217178945289,0.302776811953,-0.667938819911,0.79134194303,-0.1162106768,1.21675457048
107,0.675420746144,1.05399706188,0.857709569784,1.47570612214,0.348807427578,-1.32386903524
108,1.23377314098,-0.3620494521,1.48375075184,-1.18784914379,-0.556496447484,-0.106021854136
109,0.171304025565,-1.41327408398,0.0896846348179,-1.3436266127,-0.0448461683021,1.33647771534
110,-1.07932301689,-0.747786261703,-1.61579212816,-1.27757705549,-0.0901427670762,1.76853599662
111,-1.06494164635,0.718760343171,-1.90596022725,0.87887239499,-0.288341390824,0.265685089599
112,0.0426680286042,1.18213027551,-0.815834261422,1.25518189808,-0.033136128143,0.828134493604
113,1.2399040723,0.914844742391,-1.11819084058,-1.23625211302,-0.0895740781736,1.42236774286
114,1.71846963711,-0.155910150849,-1.09847446281,0.662313375465,0.2797275656,0.286412658824
115,0.616098603234,-1.78789597818,-1.03929514885,-0.412437971166,-0.350248576534,-0.00894577167524
116,-0.950069000611,-0.950762767175,-0.17974956783,1.4571680914,0.00707421646306,-1.34393337549
117,-1.05360911543,0.368695101732,0.151172040877,-1.6572937604,0.250213708677,-1.14636124099
118,-0.260696687803,1.1640094291,-0.738091729676,-0.410485485214,0.0191029787439,-1.26225422023
119,0.264436471291,0.0181467672519,-0.0834154598484,1.61356656028,-0.137774177203,0.211500722228
120,0.269306810769,-0.157152780577,1.05622323013,0.520270772544,0.0923855842203,0.882882185539
121,0.194622900849,0.0642554060757,0.743076720355,-0.103234443727,0.625506334292,-0.782515901316
122,0.374789278237,0.306577622217,0.673275515598,-0.97059391227,1.02022104049,0.873863599648
123,0.572235596515,0.168096690814,0.351305142956,-0.362535005252,1.58067933678,-0.243396271047
124,0.513455941608,-0.445813274167,1.04154192194,0.266179560752,0.669298162018,-1.35986811227
125,-0.422753642714,-0.997109831803,1.46883094945,1.26094003139,1.50976545741,0.630656983134
126,-0.947829038058,-0.181093211086,1.67921463888,-0.651137492307,2.23450407653,0.22251910857
127,-1.24010242412,0.1476040202,0.788763337627,-1.07955010079,2.23906821337,-0.835267525485
128,-0.546261911541,1.11225335042,0.733682779674,0.146610124813,1.55237390047,-0.66108744465
129,0.827248574415,1.3161252786,0.0207170430773,-0.751724592592,1.01871151965,0.850312135566
130,1.61658705403,-0.231007296462,-0.0376970135902,-0.433243474793,0.577206355037,-2.62293680303
131,0.99421478047,-0.797934363955,-0.253065843928,0.135954891705,-0.0582446555987,-0.558952473395
132,0.152536221574,-1.19990543351,-0.324331709976,1.09639218098,-0.773237398697,0.518808075364
133,-1.18658961661,-1.08070848179,0.0803747378898,0.136734129424,-0.849668169249,0.200709436554
134,-1.51096576841,0.454766260501,0.1748144662,-6.19656214827e-05,-0.95944171983,1.37066098584
135,-0.718173572834,1.24987973226,0.656856311781,-0.445236115733,-0.0971928143279,1.12961342182
136,0.395873995343,0.656397874049,0.673670631981,-0.828330288828,0.223357607163,0.16409900439
137,0.567114968592,-0.123899034593,0.971537867453,0.679889715747,0.626221687434,-0.0546571562434
138,-0.0106633328883,-1.00726318435,0.45935654329,-0.301636272785,0.63227171068,1.10058175093
139,-0.639502006717,-0.429584603178,0.524313223458,0.628849796577,0.375036954324,-0.080916903904
140,-0.963512163414,0.243545086145,1.29012260259,0.721021417278,0.171184373775,-0.106685304728
141,-0.103642592834,1.01804167487,1.22200152765,-1.3849103134,0.181504099356,-0.1270152467
142,0.464432017527,-0.0674841483183,1.30784784931,1.027588186,0.474992614577,0.0796935282934
143,0.505829852606,0.401518348297,1.4805835117,-1.61076205085,-0.0685346043141,-0.859373694066
144,0.457055531683,-0.838806836928,0.405647662026,-0.723344910139,-0.519885704424,0.460223653591
145,-0.600174397564,-0.566923349028,0.0777559088511,0.0930460873931,0.469838221665,1.1144929257
146,-0.698457668591,0.334319226728,1.24841659559,1.5729735713,0.046567615898,-1.99006651046
147,0.350068430473,1.25171314765,0.684512118775,-1.69218431942,-0.580410598444,0.940927432284
148,1.3611735404,0.565447071025,-0.861151475447,-1.97008623308,0.0390421970761,1.91364465822
149,0.924747840471,-1.13795992938,-1.48028753342,0.195096139416,0.394966589261,-0.713132277265
150,-0.47039054951,-1.52180609419,-0.726286286955,1.26334699274,1.19971588362,-1.27540003493
151,-1.73850758722,-0.88152014569,-0.181565646243,0.516746450303,0.635140151133,-0.361820839078
152,-1.98390670112,0.431312890325,0.800332372688,1.77454378398,0.990907796275,2.1903022881
153,-0.589105988577,2.09351132725,1.5302478737,0.470271988091,1.35444151218,-0.131792711313
154,1.6837745705,1.57644991464,1.15991683036,-1.42016235312,0.898989983903,0.587921446986
155,2.40930412313,-0.814299022695,-1.22426621883,-1.87765883862,0.0736207953876,-1.31658100361
156,0.642159515724,-2.00102243793,-2.20846017797,0.403060763605,-0.572424909457,0.0755470528433
157,-1.56267960101,-1.89153457209,-1.24232705672,0.356166649662,-0.382111075263,-1.33149477691
158,-2.21483106035,0.677591365647,-1.17013381805,-0.362521055128,0.168538591292,2.70273066325
159,-0.63215220171,2.21624701462,-1.48935501415,-0.677303307097,0.795826275767,-1.21361659546
160,1.70971718008,1.90693409651,-0.78420158095,0.0374344938771,0.66669572082,-1.38575050445
161,2.72861714952,-0.0383074727379,-0.807307383816,-0.700039691016,0.0818966033348,0.329026499874
162,1.5689926314,-2.22615721367,-0.326778121852,1.04775608311,0.159519785146,-0.83399205102
163,-0.698758126379,-1.84412930666,0.409254862901,0.234769881494,0.332107613172,1.19760513578
164,-2.04821566389,-0.34329057544,0.791301949909,0.301226161645,0.476134122884,-0.491942753142
165,-1.19333805734,1.84223184492,-0.413013644631,-1.72600051672,-0.146118645467,-0.00989068853177
166,0.864957573248,1.86805258501,-0.654757651928,0.0654152909583,-0.756605324194,0.272564311914
167,2.26502653249,0.342854907273,0.264795370533,0.324725573629,-0.259943980204,-0.0398693061886
168,1.66196151826,-1.01837886641,1.24057125905,0.0692792847419,-0.739906559949,1.29518785805
169,0.123768850578,-1.65142082747,1.30866050021,-0.0351841250888,-0.127882163547,-0.358578050216
170,-1.11912558694,-0.908742642627,0.931854474186,0.538446489167,-0.875003237039,0.0605682633509
171,-1.31300031398,0.566330555372,0.729547986381,-0.992869861169,-0.623547250925,1.62168281352
172,-0.106831394449,1.53452745833,0.556885094161,0.887331603322,-0.988401287457,0.306478102556
173,1.29706500923,0.703475065177,0.948262119573,-0.00473221523228,-0.807594451798,0.76463841248
174,1.63167821095,-0.458767597715,0.445286036777,-1.5292678212,-0.124685859317,-0.804374598198
175,0.487039352157,-1.51791521562,-1.0562748445,-0.328930558215,-0.0957529573909,-0.390018912343
176,-0.759969923246,-0.927191588114,-0.698083894425,0.118203314383,0.00986662324018,0.766030788503
177,-0.81703721419,0.703475029701,-0.0510088118261,0.540605390921,0.340690767784,-2.5727732392
178,-0.148511558005,0.701541644239,0.521962220825,0.152079023261,-1.08671673288,1.82964823393
179,0.539632982086,0.783236906389,-0.225546601934,-0.138539606368,-1.2000412648,-0.987439262717
180,1.1422811181,0.169352638982,-1.33134816271,-0.214941167688,-0.822240698701,-0.361704230714
181,0.923079897383,-0.662111407251,-1.02613327297,0.487347238472,-0.39234595512,0.376400495283
182,-0.162121979569,-1.5082840618,-1.76815659718,-1.35378090763,0.742289232621,1.10329353158
183,-1.12928494349,-0.338247064492,-2.44473732489,-0.893265597318,1.03757460126,0.0450227622129
184,-0.855760055386,1.03815899169,-2.66760800312,-0.329652089523,1.35823035404,-1.09157714733
185,0.259133094929,1.03838753371,-1.91083287807,1.34237581813,0.710046394856,-1.67652570665
186,1.09060175411,0.57913500185,0.360902460545,1.33614638889,0.270859350308,-1.53740345146
187,1.25589786987,-0.337510147457,1.64044018052,0.61664940374,-1.05204360034,-0.558410393347
188,0.512166884949,-0.86289895376,1.94041208115,-0.623197467699,-0.984086621595,0.0689549554446
189,-0.390648939686,-0.418701368601,-0.064160695628,-3.06270999438,-1.1034625445,0.69176288539
190,-1.17314973624,-0.719563085714,-1.08481451246,0.333939659095,-1.25914369505,-0.679957337551
191,-0.832451513221,0.779271122838,-0.653580792713,0.254935063618,-1.25160528,-1.03194238396
192,0.483697867397,1.12960959746,0.342013482798,0.325528683905,-1.47447692717,0.677882601693
193,1.04094779407,-0.143346097012,1.58130974085,1.16756701864,-0.86407672386,0.737431218812
194,0.37677908358,-1.25178028243,1.80610912686,-0.515480477683,-1.37925432436,0.629326367572
195,-0.636558845105,-1.08489044692,0.389090567132,-1.3699575926,-0.885524773218,-0.884387268593
196,-0.858532293346,0.438748955127,-0.653072334181,0.965598223443,-1.06871235271,1.64294065877
197,-0.735400663755,0.221296720983,0.751613322662,1.94243740793,0.644227259127,0.0853015950584
198,-0.18614112831,0.447241927202,1.08985606747,-1.17972065489,0.681486457475,-0.890229426497
199,0.255460470985,0.359638220432,-0.881538331647,-1.25723621018,1.57983204492,0.533024686617
