thermostat,replica_index,time,relative_energy_error
weak_argon_langevin,1,0.09,1.68436508511e-05
weak_argon_langevin,1,0.12,1.12225978183e-05
weak_argon_langevin,1,0.15,1.40495090621e-05
weak_argon_langevin,1,0.18,6.4586833814e-06
weak_argon_langevin,1,0.21,1.55980237899e-05
weak_argon_langevin,1,0.24,-1.91032514766e-06
weak_argon_langevin,1,0.27,1.70394962295e-06
weak_argon_langevin,1,0.3,2.4615875383e-05
weak_argon_langevin,1,0.33,6.9008060155e-06
weak_argon_langevin,1,0.36,1.98915595129e-06
weak_argon_langevin,1,0.39,8.29769027192e-06
weak_argon_langevin,1,0.42,2.00061741873e-06
weak_argon_langevin,1,0.45,2.56497147806e-05
weak_argon_langevin,1,0.48,-3.46364495516e-06
weak_argon_langevin,1,0.51,2.69809230166e-05
weak_argon_langevin,1,0.54,1.50477956803e-05
weak_argon_langevin,1,0.57,8.89000954117e-06
weak_argon_langevin,1,0.6,1.46280824207e-05
weak_argon_langevin,1,0.63,9.42800953841e-06
weak_argon_langevin,1,0.66,3.93636775309e-05
weak_argon_langevin,1,0.69,1.23549807026e-05
weak_argon_langevin,1,0.72,6.37651676177e-06
weak_argon_langevin,1,0.75,2.05767317554e-05
weak_argon_langevin,1,0.78,9.05258862319e-06
weak_argon_langevin,1,0.81,2.8632330079e-05
weak_argon_langevin,1,0.84,1.06774062318e-05
weak_argon_langevin,1,0.87,2.24651124836e-05
weak_argon_langevin,1,0.9,1.09094978266e-05
weak_argon_langevin,1,0.93,1.66543445422e-05
weak_argon_langevin,1,0.96,2.42725663563e-05
weak_argon_langevin,1,0.99,2.7249915119e-05
weak_argon_langevin,1,1.02,2.66911320531e-05
weak_argon_langevin,1,1.05,9.34489591254e-06
weak_argon_langevin,1,1.08,8.37580944607e-06
weak_argon_langevin,1,1.11,2.82098329331e-05
weak_argon_langevin,1,1.14,8.79767246161e-06
weak_argon_langevin,1,1.17,2.10715657347e-05
weak_argon_langevin,1,1.2,1.82097576712e-05
weak_argon_langevin,1,1.23,1.09093094694e-05
weak_argon_langevin,1,1.26,2.4016647354e-05
weak_argon_langevin,1,1.29,1.76189162671e-05
weak_argon_langevin,1,1.32,1.39191687636e-05
weak_argon_langevin,1,1.35,2.78794716581e-05
weak_argon_langevin,1,1.38,2.63489874239e-05
weak_argon_langevin,1,1.41,4.81873827158e-06
weak_argon_langevin,1,1.44,2.96203146365e-05
weak_argon_langevin,1,1.47,1.96678012571e-05
weak_argon_langevin,1,1.5,2.1713434751e-05
weak_argon_langevin,1,1.53,3.11149170104e-05
weak_argon_langevin,1,1.56,7.87662942135e-06
weak_argon_langevin,1,1.59,1.01848300919e-05
weak_argon_langevin,1,1.62,3.17168676528e-05
weak_argon_langevin,1,1.65,1.73015478155e-05
weak_argon_langevin,1,1.68,2.63111608046e-05
weak_argon_langevin,1,1.71,2.45150414489e-05
weak_argon_langevin,1,1.74,2.14737483955e-05
weak_argon_langevin,1,1.77,1.90690868543e-05
weak_argon_langevin,1,1.8,2.40445441719e-05
weak_argon_langevin,1,1.83,1.97473110436e-05
weak_argon_langevin,1,1.86,2.52826403874e-05
weak_argon_langevin,1,1.89,2.13921671955e-05
weak_argon_langevin,1,1.92,8.67306295767e-06
weak_argon_langevin,1,1.95,2.17572219566e-05
weak_argon_langevin,1,1.98,2.90242121952e-05
weak_argon_langevin,1,2.01,1.48089846257e-05
weak_argon_langevin,1,2.04,1.96336619232e-05
weak_argon_langevin,1,2.07,2.19654163716e-05
weak_argon_langevin,1,2.1,2.3139394706e-05
weak_argon_langevin,1,2.13,2.65427634934e-05
weak_argon_langevin,1,2.16,2.68677597866e-05
weak_argon_langevin,1,2.19,1.64736963145e-05
weak_argon_langevin,1,2.22,1.61306899988e-05
weak_argon_langevin,1,2.25,1.44729448123e-05
weak_argon_langevin,1,2.28,3.14675903763e-05
weak_argon_langevin,1,2.31,3.45760115615e-05
