radius_angstrom,pmf_ev,replica_std_ev
3.24,0.0272602701612,0.000854381596223
3.32,0.015339423733,0.000249739037628
3.4,0.00783677800085,4.80940873309e-05
3.48,0.00329836271873,0.000186563174147
3.56,0.000793492984075,1.94675738821e-05
3.64,0,0
3.72,0.000393998563786,6.37978714346e-05
3.8,0.00192572910235,7.56538628847e-05
3.88,0.00412146876797,0.000209626321996
3.96,0.00702395772912,0.000339700715917
4.04,0.0105961450642,6.03072929949e-05
4.12,0.0147415488479,0.000178053003085
4.2,0.0195492296437,0.000356798911192
4.28,0.0246337705145,0.000745530228524
4.36,0.0304307045879,0.000455098902847
4.44,0.0366279612635,0.000308911527637
4.52,0.0379758077389,0.000333124474787
4.6,0.0359972270286,0.000782950693146
4.68,0.0312664163065,0.000651949710173
4.76,0.0274230502272,0.000671138623293
4.84,0.0237668786809,0.000440202155056
4.92,0.0200490065588,0.000168805704693
5,0.0176578259507,0.000284319164758
5.08,0.015661507661,0.000516575433008
5.16,0.0144934674298,0.00024083455241
5.24,0.0140500238412,0.000127832487678
5.32,0.0142121295443,0.000186937480303
5.4,0.015596277014,0.000315530367427
5.48,0.0171883232524,0.000146371124925
5.56,0.0196773039155,0.000102534677459
5.64,0.0225052453059,0.000176967156683
5.72,0.0246220494306,0.000145197600345
5.8,0.0252835919361,0.000357446644581
5.88,0.0232485543431,0.00027858564497
5.96,0.0191785905614,0.000149067173455
6.04,0.0147109919914,1.04888775361e-05
6.12,0.0110824498747,2.03144712069e-05
6.2,0.00826614742102,0.000162416423813
6.28,0.00648606630608,8.67219906313e-05
6.36,0.00535692394078,0.000134724952208
6.44,0.00518532310617,6.4359068484e-05
6.52,0.00577645145412,0.000107703786021
6.6,0.00719290479612,0.000135527013568
6.68,0.00931562866855,0.000159326737865
6.76,0.012034827805,9.70393823419e-05
6.84,0.0151246255087,2.15777576113e-05
6.92,0.0180112723343,0.000192096029255
7,0.0193671724014,0.000385600926535
7.08,0.0184621587673,0.000147928850208
7.16,0.0168514348602,0.000166890939403
7.24,0.0151876736088,0.000115435039013
7.32,0.0140761504719,0.000191557341829
7.4,0.0136231981659,0.000201718870484
7.48,0.0138046696459,0.000179494783503
7.56,0.0144823690692,5.46386377453e-05
7.64,0.0158470345366,0.000156110107469
7.72,0.0169607770421,6.23178604689e-05
7.8,0.0174784112243,9.38487589508e-05
7.88,0.0169744872031,9.56377055642e-05
7.96,0.0154021629425,3.59733463559e-05
